block,ordinal,plan_id,total_rows,active_count,shape,replica,max_fraction,cv,expert_ids,counts,latency_us
0,147,r32_a16_uniform_rep0,32,16,uniform,0,0.0625,0.0,1;2;3;4;7;9;10;11;12;15;19;21;22;24;25;30,2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2,908.6400270462036
0,148,r64_a1_uniform_rep1,64,1,uniform,1,1.0,0.0,22,64,107.93600231409073
0,149,r128_a1_uniform_rep0,128,1,uniform,0,1.0,0.0,4,128,103.42399775981903
0,150,r64_a4_hot50_rep0,64,4,hot50,0,0.484375,0.5412658773652742,5;10;14;24,31;11;11;11,261.4080011844635
0,151,r256_a4_zipf_rep2,256,4,zipf,2,0.4765625,0.551653232622179,0;17;19;28,122;62;41;31,262.4639868736267
0,152,r128_a16_zipf_rep1,128,16,zipf,1,0.265625,0.967236721283885,0;1;2;3;8;11;15;18;19;20;21;25;26;28;29;30,34;18;12;9;8;6;6;5;5;4;4;4;4;3;3;3,904.0639996528625
0,153,r256_a16_zipf_rep2,256,16,zipf,2,0.28125,1.0404419884116558,0;1;2;7;9;12;14;17;18;19;20;24;25;27;28;31,72;37;25;19;15;13;11;10;9;8;7;7;6;6;6;5,914.4319891929626
0,154,r256_a1_zipf_rep2,256,1,zipf,2,1.0,0.0,0,256,106.75200074911118
0,155,r128_a1_hot50_rep2,128,1,hot50,2,1.0,0.0,5,128,102.68799960613251
0,156,r64_a1_zipf_rep1,64,1,zipf,1,1.0,0.0,22,64,102.1760031580925
0,157,r32_a1_hot50_rep0,32,1,hot50,0,1.0,0.0,18,32,101.05600208044052
0,158,r256_a16_hot50_rep1,256,16,hot50,1,0.47265625,1.6944302139657448,0;2;5;6;12;13;14;17;18;19;21;22;25;27;28;29,121;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9,908.8320136070251
0,159,r256_a8_uniform_rep2,256,8,uniform,2,0.125,0.0,8;10;13;17;20;21;28;29,32;32;32;32;32;32;32;32,472.4160134792328
0,160,r256_a8_zipf_rep1,256,8,zipf,1,0.359375,0.7842131307081003,7;9;14;17;18;23;29;31,92;47;32;24;19;16;14;12,480.0640046596527
0,161,r128_a16_hot50_rep1,128,16,hot50,1,0.4453125,1.5823736126465204,0;1;2;3;8;11;15;18;19;20;21;25;26;28;29;30,57;5;5;5;5;5;5;5;5;5;5;5;4;4;4;4,912.6719832420349
0,162,r32_a4_hot50_rep1,32,4,hot50,1,0.46875,0.5077524002897476,11;16;18;22,15;6;6;5,262.4320089817047
0,163,r32_a4_uniform_rep0,32,4,uniform,0,0.25,0.0,2;17;27;28,8;8;8;8,260.4160010814667
0,164,r64_a8_zipf_rep1,64,8,zipf,1,0.34375,0.7207851621669248,0;2;5;9;17;25;27;30,22;11;8;6;5;4;4;4,519.4879770278931
0,165,r32_a16_hot50_rep2,32,16,hot50,2,0.28125,0.9354143466934853,1;2;4;5;6;9;14;16;18;19;22;24;26;27;28;30,9;2;2;2;2;2;2;2;2;1;1;1;1;1;1;1,3419.2960262298584
0,166,r64_a16_uniform_rep2,64,16,uniform,2,0.0625,0.0,1;4;5;8;9;10;12;13;19;22;24;25;26;28;29;30,4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4,2928.0319213867188
0,167,r256_a2_zipf_rep2,256,2,zipf,2,0.6640625,0.328125,0;10,170;86,193.82399320602417
0,168,r64_a4_uniform_rep0,64,4,uniform,0,0.25,0.0,5;10;14;24,16;16;16;16,265.24800062179565
0,169,r64_a16_hot50_rep1,64,16,hot50,1,0.390625,1.3607213160673275,0;4;5;7;9;12;13;16;17;18;20;21;23;24;27;29,25;3;3;3;3;3;3;3;3;3;2;2;2;2;2;2,907.5199961662292
0,170,r128_a1_hot50_rep1,128,1,hot50,1,1.0,0.0,29,128,114.9120032787323
0,171,r64_a16_hot50_rep2,64,16,hot50,2,0.390625,1.3607213160673275,1;4;5;8;9;10;12;13;19;22;24;25;26;28;29;30,25;3;3;3;3;3;3;3;3;3;2;2;2;2;2;2,910.7199907302856
0,172,r128_a8_hot50_rep2,128,8,hot50,2,0.4765625,1.0634187204483472,1;6;10;13;15;16;23;26,61;10;10;10;10;9;9;9,477.56800055503845
0,173,r64_a16_linear_skew_rep2,64,16,linear_skew,2,0.109375,0.4330127018922193,1;4;5;8;9;10;12;13;19;22;24;25;26;28;29;30,7;6;6;6;5;5;5;4;4;3;3;3;2;2;2;1,906.4000248908997
0,174,r128_a4_zipf_rep1,128,4,zipf,1,0.46875,0.5326268921581034,0;6;19;25,60;31;21;16,269.567996263504
0,175,r128_a2_hot50_rep0,128,2,hot50,0,0.5,0.0,0;7,64;64,156.09599649906158
0,176,r256_a16_zipf_rep1,256,16,zipf,1,0.28125,1.0404419884116558,0;2;5;6;12;13;14;17;18;19;21;22;25;27;28;29,72;37;25;19;15;13;11;10;9;8;7;7;6;6;6;5,907.1999788284302
0,177,r32_a1_linear_skew_rep0,32,1,linear_skew,0,1.0,0.0,18,32,112.96000331640244
0,178,r128_a16_linear_skew_rep0,128,16,linear_skew,0,0.109375,0.4759858191164943,1;2;5;6;12;15;18;19;20;21;23;25;26;27;29;30,14;13;13;12;11;10;9;8;8;7;6;5;4;3;3;2,908.4159731864929
0,179,r32_a4_linear_skew_rep1,32,4,linear_skew,1,0.375,0.3644344934278313,11;16;18;22,12;9;7;4,262.0159983634949
0,180,r32_a1_zipf_rep2,32,1,zipf,2,1.0,0.0,5,32,103.71199995279312
0,181,r64_a8_uniform_rep1,64,8,uniform,1,0.125,0.0,0;2;5;9;17;25;27;30,8;8;8;8;8;8;8;8,473.34399819374084
0,182,r256_a4_hot50_rep2,256,4,hot50,2,0.49609375,0.5683291712335379,0;17;19;28,127;43;43;43,263.4879946708679
0,183,r256_a4_zipf_rep1,256,4,zipf,1,0.4765625,0.551653232622179,23;27;28;29,122;62;41;31,263.0079984664917
0,184,r32_a1_hot50_rep2,32,1,hot50,2,1.0,0.0,5,32,103.4879982471466
0,185,r64_a2_zipf_rep2,64,2,zipf,2,0.65625,0.3125,4;14,42;22,161.0880047082901
0,186,r256_a4_uniform_rep0,256,4,uniform,0,0.25,0.0,5;16;17;29,64;64;64;64,262.04800605773926
0,187,r64_a1_hot50_rep2,64,1,hot50,2,1.0,0.0,25,64,103.13600301742554
0,188,r32_a1_linear_skew_rep2,32,1,linear_skew,2,1.0,0.0,5,32,101.79200023412704
0,189,r256_a2_zipf_rep1,256,2,zipf,1,0.6640625,0.328125,21;27,170;86,155.008003115654
