policy,cache_scope,capacity,prefetch_budget,total_latency_ms,total_compute_ms,total_demand_ms,total_exposed_prefetch_ms,miss_rate,total_needed_objects,total_misses,total_prefetches,useful_prefetches,wasted_prefetches,prefetch_precision,model,rank_mode,rank_limit,safe_overlap_budget,reactive_latency_ms,latency_saving_vs_reactive_pct
static_frequency_pin,global,12,0,8484.020444706082,294.57612800598145,8189.444316700101,0.0,0.9764924002588634,114346,111658,0,0,0,0.0,llmjp,full_topk,16,0,8681.16911585629,2.2709921730485916
frequency_prefetch,global,12,6,8373.100480169058,294.57612800598145,6909.298146218061,1169.226205945015,0.8238504189040281,114346,94204,20160,20142,18,0.9991071428571429,llmjp,full_topk,16,0,8681.16911585629,3.5486998533934777
transition_prefetch,global,12,6,8372.293696172535,294.57612800598145,6908.491362221539,1169.226205945015,0.8237542196491351,114346,94193,20160,20153,7,0.9996527777777777,llmjp,full_topk,16,0,8681.16911585629,3.5579933481492576
random_prefetch,global,12,6,8375.887552157044,294.57612800598145,6912.085218206048,1169.226205945015,0.8241827436027496,114346,94242,20160,20104,56,0.9972222222222222,llmjp,full_topk,16,0,8681.16911585629,3.516595053328053
oracle_prefetch,global,12,6,8371.780288174748,294.57612800598145,6907.977954223752,1169.226205945015,0.8236930019414759,114346,94186,20160,20160,0,1.0,llmjp,full_topk,16,0,8681.16911585629,3.563907390266574
reactive_lru,global,24,0,8681.16911585629,294.57612800598145,8386.592987850308,0.0,1.0,114346,114346,0,0,0,0.0,llmjp,full_topk,16,0,8681.16911585629,0.0
static_frequency_pin,global,24,0,8287.238493554294,294.57612800598145,7992.662365548313,0.0,0.9530285274517691,114346,108975,0,0,0,0.0,llmjp,full_topk,16,0,8681.16911585629,4.537760030299087
frequency_prefetch,global,24,6,8373.100480169058,294.57612800598145,6909.298146218061,1169.226205945015,0.8238504189040281,114346,94204,20160,20142,18,0.9991071428571429,llmjp,full_topk,16,0,8681.16911585629,3.5486998533934777
transition_prefetch,global,24,6,8372.293696172535,294.57612800598145,6908.491362221539,1169.226205945015,0.8237542196491351,114346,94193,20160,20153,7,0.9996527777777777,llmjp,full_topk,16,0,8681.16911585629,3.5579933481492576
random_prefetch,global,24,6,8375.960896156728,294.57612800598145,6912.158562205732,1169.226205945015,0.824191488989558,114346,94243,20160,20103,57,0.997172619047619,llmjp,full_topk,16,0,8681.16911585629,3.515750190168443
oracle_prefetch,global,24,6,8371.780288174748,294.57612800598145,6907.977954223752,1169.226205945015,0.8236930019414759,114346,94186,20160,20160,0,1.0,llmjp,full_topk,16,0,8681.16911585629,3.563907390266574
reactive_lru,per_layer,6,0,7113.147746615112,294.57612800598145,6818.57161860913,0.0,0.8130323754219649,114346,92967,0,0,0,0.0,llmjp,full_topk,16,0,7113.147746615112,0.0
static_frequency_pin,per_layer,6,0,7105.299938648939,294.57612800598145,6810.723810642958,0.0,0.8120966190334599,114346,92860,0,0,0,0.0,llmjp,full_topk,16,0,7113.147746615112,0.11032820132137466
frequency_prefetch,per_layer,6,6,8275.332928590477,294.57612800598145,6811.53059463948,1169.226205945015,0.8121928182883529,114346,92871,20160,20139,21,0.9989583333333333,llmjp,full_topk,16,0,7113.147746615112,-16.338549730369458
transition_prefetch,per_layer,6,6,8274.526144593954,294.57612800598145,6810.723810642958,1169.226205945015,0.8120966190334599,114346,92860,20160,20150,10,0.9995039682539683,llmjp,full_topk,16,0,7113.147746615112,-16.327207578831747
random_prefetch,per_layer,6,6,8278.340032577515,294.57612800598145,6814.537698626518,1169.226205945015,0.8125513791474996,114346,92912,20160,20098,62,0.9969246031746032,llmjp,full_topk,16,0,7113.147746615112,-16.380825022464563
oracle_prefetch,per_layer,6,6,8273.792704597116,294.57612800598145,6809.990370646119,1169.226205945015,0.8120091651653752,114346,92850,20160,20160,0,1.0,llmjp,full_topk,16,0,7113.147746615112,-16.316896531979275
reactive_lru,per_layer,12,0,5543.879529379308,294.57612800598145,5249.303401373327,0.0,0.625916079268186,114346,71571,0,0,0,0.0,llmjp,full_topk,16,0,5543.879529379308,0.0
static_frequency_pin,per_layer,12,0,5528.990697443485,294.57612800598145,5234.414569437504,0.0,0.6241407657460689,114346,71368,0,0,0,0.0,llmjp,full_topk,16,0,5543.879529379308,0.2685634104586998
frequency_prefetch,per_layer,12,6,6707.604935348034,294.57612800598145,5243.8026013970375,1169.226205945015,0.6252601752575516,114346,71496,20160,20137,23,0.9988591269841269,llmjp,full_topk,16,0,5543.879529379308,-20.99117413720237
transition_prefetch,per_layer,12,6,6706.871495351195,294.57612800598145,5243.069161400199,1169.226205945015,0.625172721389467,114346,71486,20160,20147,13,0.9993551587301587,llmjp,full_topk,16,0,5543.879529379308,-20.97794441254923
random_prefetch,per_layer,12,6,6711.858887329698,294.57612800598145,5248.056553378701,1169.226205945015,0.6257674076924422,114346,71554,20160,20079,81,0.9959821428571428,llmjp,full_topk,16,0,5543.879529379308,-21.067906540190574
oracle_prefetch,per_layer,12,6,6705.918023355305,294.57612800598145,5242.115689404309,1169.226205945015,0.6250590313609571,114346,71473,20160,20160,0,1.0,llmjp,full_topk,16,0,5543.879529379308,-20.960745770500154
reactive_lru,per_layer,24,0,2407.5434148982167,294.57612800598145,2112.9672868922353,0.0,0.251945848564882,114346,28809,0,0,0,0.0,llmjp,full_topk,16,0,2407.5434148982167,0.0
static_frequency_pin,per_layer,24,0,2378.9392550215125,294.57612800598145,2084.363127015531,0.0,0.24853514770958318,114346,28419,0,0,0,0.0,llmjp,full_topk,16,0,2407.5434148982167,1.1881056723504035
frequency_prefetch,per_layer,24,6,3574.495956853032,294.57612800598145,2110.6936229020357,1169.226205945015,0.2516747415738198,114346,28778,20160,20071,89,0.9955853174603174,llmjp,full_topk,16,0,2407.5434148982167,-48.4706749100992
transition_prefetch,per_layer,24,6,3573.2491088584065,294.57612800598145,2109.44677490741,1169.226205945015,0.25152606999807603,114346,28761,20160,20088,72,0.9964285714285714,llmjp,full_topk,16,0,2407.5434148982167,-48.41888568848391
