global_step,forward_id,layer,arm,active_lane_count,low_lane_count,low_lanes,remote_pairs,low_pairs,low_frac,wire_bytes,high_baseline_wire_bytes,baseline_bottleneck_bytes,policy_bottleneck_bytes,baseline_step_us,codec_tiles,codec_step_us_optimistic,codec_step_us_serialized_tiles,codec_step_us,policy_step_us,max_sender_load,max_receiver_load
0,0,0,controller,32,0,,51645,0,0.0,26648820.0,26648820.0,13585764.0,13585764.0,543.43056,0,0.0,0.0,0.0,543.43056,11955.0,26329.0
44,2,12,controller,32,16,4:0;4:1;4:2;4:3;5:0;5:1;5:2;5:3;6:0;6:1;6:2;6:3;7:0;7:1;7:2;7:3,48336,34337,0.7103814961933135,16151104.0,24941376.0,11917020.0,6004700.0,476.6808,1083,33.42015981674194,36194.033081531525,33.42015981674194,273.60815981674193,9597.0,23095.0
45,2,13,controller,32,16,4:0;4:1;4:2;4:3;5:0;5:1;5:2;5:3;6:0;6:1;6:2;6:3;7:0;7:1;7:2;7:3,49277,36047,0.7315177466160684,16198900.0,25426932.0,12541896.0,6319560.0,501.67584,1135,33.42015981674194,37931.881392002106,33.42015981674194,286.20255981674194,10805.0,24306.0
46,2,14,controller,32,16,4:0;4:1;4:2;4:3;5:0;5:1;5:2;5:3;6:0;6:1;6:2;6:3;7:0;7:1;7:2;7:3,49225,36815,0.7478923311325546,15975460.0,25400100.0,12734880.0,6416800.0,509.3952,1157,33.42015981674194,38667.12490797043,33.42015981674194,290.09215981674197,9669.0,24680.0
47,2,15,controller,32,16,4:0;4:1;4:2;4:3;5:0;5:1;5:2;5:3;6:0;6:1;6:2;6:3;7:0;7:1;7:2;7:3,47455,33624,0.7085449373090296,15879036.0,24486780.0,11578524.0,5834140.0,463.14096,1058,33.42015981674194,35358.529086112976,33.42015981674194,266.7857598167419,8862.0,22439.0
48,3,0,controller,32,16,4:0;4:1;4:2;4:3;5:0;5:1;5:2;5:3;6:0;6:1;6:2;6:3;7:0;7:1;7:2;7:3,48805,38333,0.7854318205101937,15370132.0,25183380.0,11849424.0,5970640.0,473.97696,1206,33.42015981674194,40304.712738990784,33.42015981674194,272.24575981674195,11998.0,22964.0
49,3,1,controller,32,16,4:0;4:1;4:2;4:3;5:0;5:1;5:2;5:3;6:0;6:1;6:2;6:3;7:0;7:1;7:2;7:3,47000,35543,0.7562340425531915,15152992.0,24252000.0,10973772.0,5529420.0,438.95088,1118,33.42015981674194,37363.73867511749,33.42015981674194,254.59695981674193,9885.0,21267.0
50,3,2,controller,32,16,4:0;4:1;4:2;4:3;5:0;5:1;5:2;5:3;6:0;6:1;6:2;6:3;7:0;7:1;7:2;7:3,47549,36157,0.7604155713053903,15279092.0,24535284.0,11166240.0,5626400.0,446.6496,1137,33.42015981674194,37998.72171163559,33.42015981674194,258.476159816742,13075.0,21640.0
51,3,3,controller,32,16,4:0;4:1;4:2;4:3;5:0;5:1;5:2;5:3;6:0;6:1;6:2;6:3;7:0;7:1;7:2;7:3,45953,33834,0.7362740191064784,15050244.0,23711748.0,10386048.0,5233280.0,415.44192,1064,33.42015981674194,35559.05004501343,33.42015981674194,242.75135981674194,9901.0,20128.0
52,3,4,controller,32,16,4:0;4:1;4:2;4:3;5:0;5:1;5:2;5:3;6:0;6:1;6:2;6:3;7:0;7:1;7:2;7:3,48137,36963,0.7678708685626441,15376164.0,24838692.0,11491320.0,5790200.0,459.6528,1163,33.42015981674194,38867.64586687088,33.42015981674194,265.02815981674195,11175.0,22270.0
53,3,5,controller,32,16,4:0;4:1;4:2;4:3;5:0;5:1;5:2;5:3;6:0;6:1;6:2;6:3;7:0;7:1;7:2;7:3,46972,35358,0.7527463169547816,15185904.0,24237552.0,11138376.0,5612360.0,445.53504,1114,33.42015981674194,37230.058035850525,33.42015981674194,257.914559816742,9268.0,21586.0
54,3,6,controller,32,16,4:0;4:1;4:2;4:3;5:0;5:1;5:2;5:3;6:0;6:1;6:2;6:3;7:0;7:1;7:2;7:3,47876,37055,0.7739786114128164,15217936.0,24704016.0,11583168.0,5836480.0,463.32672,1168,33.42015981674194,39034.74666595459,33.42015981674194,266.87935981674195,9682.0,22448.0
55,3,7,controller,32,16,4:0;4:1;4:2;4:3;5:0;5:1;5:2;5:3;6:0;6:1;6:2;6:3;7:0;7:1;7:2;7:3,47255,36091,0.7637498677388637,15144284.0,24383580.0,11081616.0,5583760.0,443.26464,1138,33.42015981674194,38032.14187145233,33.42015981674194,256.770559816742,10153.0,21476.0
56,3,8,controller,32,16,4:0;4:1;4:2;4:3;5:0;5:1;5:2;5:3;6:0;6:1;6:2;6:3;7:0;7:1;7:2;7:3,47456,35790,0.7541722859069454,15325056.0,24487296.0,11091936.0,5588960.0,443.67744,1128,33.42015981674194,37697.94027328491,33.42015981674194,256.97855981674195,9544.0,21496.0
57,3,9,controller,32,16,4:0;4:1;4:2;4:3;5:0;5:1;5:2;5:3;6:0;6:1;6:2;6:3;7:0;7:1;7:2;7:3,48013,36497,0.7601482931705996,15431476.0,24774708.0,11545500.0,5817500.0,461.82,1149,33.42015981674194,38399.76362943649,33.42015981674194,266.12015981674193,9251.0,22375.0
58,3,10,controller,32,16,4:0;4:1;4:2;4:3;5:0;5:1;5:2;5:3;6:0;6:1;6:2;6:3;7:0;7:1;7:2;7:3,47747,37127,0.7775776488575199,15132940.0,24637452.0,11490804.0,5789940.0,459.63216,1168,33.42015981674194,39034.74666595459,33.42015981674194,265.01775981674194,10548.0,22269.0
59,3,11,controller,32,16,4:0;4:1;4:2;4:3;5:0;5:1;5:2;5:3;6:0;6:1;6:2;6:3;7:0;7:1;7:2;7:3,46957,35148,0.7485145984624231,15231924.0,24229812.0,10911852.0,5498220.0,436.47408,1106,33.42015981674194,36962.69675731659,33.42015981674194,253.34895981674194,9678.0,21147.0
60,3,12,controller,32,16,4:0;4:1;4:2;4:3;5:0;5:1;5:2;5:3;6:0;6:1;6:2;6:3;7:0;7:1;7:2;7:3,47249,35909,0.7599949205274186,15187780.0,24380484.0,11171400.0,5629000.0,446.856,1131,33.42015981674194,37798.20075273514,33.42015981674194,258.5801598167419,10119.0,21650.0
61,3,13,controller,32,16,4:0;4:1;4:2;4:3;5:0;5:1;5:2;5:3;6:0;6:1;6:2;6:3;7:0;7:1;7:2;7:3,48189,37565,0.7795347485940775,15248884.0,24865524.0,11518152.0,5803720.0,460.72608,1181,33.42015981674194,39469.208743572235,33.42015981674194,265.56895981674194,11206.0,22322.0
62,3,14,controller,32,16,4:0;4:1;4:2;4:3;5:0;5:1;5:2;5:3;6:0;6:1;6:2;6:3;7:0;7:1;7:2;7:3,49064,38783,0.790457361813142,15388576.0,25317024.0,11997000.0,6045000.0,479.88,1220,33.42015981674194,40772.59497642517,33.42015981674194,275.22015981674195,10195.0,23250.0
63,3,15,controller,32,16,4:0;4:1;4:2;4:3;5:0;5:1;5:2;5:3;6:0;6:1;6:2;6:3;7:0;7:1;7:2;7:3,46629,35468,0.7606425186043021,14980756.0,24060564.0,11171400.0,5629000.0,446.856,1116,33.42015981674194,37296.89835548401,33.42015981674194,258.5801598167419,9172.0,21650.0
