model,origin_mode,saving_basis,harm_basis,lambda_low,lambda_high,winners,fine_online_wins,coarse_only
llmjp,hotspot,simulated_saving_fraction,cvar_incremental_positive_nll_harm,0.749686180296231,inf,uniform_full,False,True
llmjp,hotspot,simulated_saving_fraction,cvar_incremental_positive_nll_harm_ucb95,0.0,2.55030536462054e-05,calib_static;uniform_low,False,True
llmjp,hotspot,simulated_saving_fraction,cvar_incremental_positive_nll_harm_ucb95,2.55030536462054e-05,0.6646178958131195,uniform_low,False,True
llmjp,hotspot,simulated_saving_fraction,cvar_incremental_positive_nll_harm_ucb95,0.6646178958131195,inf,uniform_full,False,True
llmjp,hotspot,simulated_saving_optimistic_codec,incremental_accuracy_harm,0.0,1.2361222658796578e-05,calib_static;uniform_low,False,True
llmjp,hotspot,simulated_saving_optimistic_codec,incremental_accuracy_harm,1.2361222658796578e-05,inf,uniform_low,False,True
llmjp,hotspot,simulated_saving_optimistic_codec,incremental_accuracy_harm_ucb95,0.0,1.5844798116343863e-06,calib_static;uniform_low,False,True
llmjp,hotspot,simulated_saving_optimistic_codec,incremental_accuracy_harm_ucb95,1.5844798116343863e-06,13.727960187358676,uniform_low,False,True
llmjp,hotspot,simulated_saving_optimistic_codec,incremental_accuracy_harm_ucb95,13.727960187358676,inf,uniform_full,False,True
llmjp,hotspot,simulated_saving_optimistic_codec,cvar_incremental_positive_accuracy_harm,0.0,5.652446046777722e-07,calib_static;uniform_low,False,True
llmjp,hotspot,simulated_saving_optimistic_codec,cvar_incremental_positive_accuracy_harm,5.652446046777722e-07,0.7967119751592089,uniform_low,False,True
llmjp,hotspot,simulated_saving_optimistic_codec,cvar_incremental_positive_accuracy_harm,0.7967119751592089,inf,uniform_full,False,True
llmjp,hotspot,simulated_saving_optimistic_codec,cvar_incremental_positive_accuracy_harm_ucb95,0.0,3.7682973645184794e-07,calib_static;uniform_low,False,True
llmjp,hotspot,simulated_saving_optimistic_codec,cvar_incremental_positive_accuracy_harm_ucb95,3.7682973645184794e-07,0.5311413167728058,uniform_low,False,True
llmjp,hotspot,simulated_saving_optimistic_codec,cvar_incremental_positive_accuracy_harm_ucb95,0.5311413167728058,inf,uniform_full,False,True
llmjp,hotspot,simulated_saving_optimistic_codec,mean_incremental_positive_nll_harm,0.0,3.063016897712262,calib_static,False,True
llmjp,hotspot,simulated_saving_optimistic_codec,mean_incremental_positive_nll_harm,3.063016897712262,inf,uniform_full,False,True
llmjp,hotspot,simulated_saving_optimistic_codec,cvar_incremental_positive_nll_harm,0.0,5.640851802919127e-06,calib_static;uniform_low,False,True
llmjp,hotspot,simulated_saving_optimistic_codec,cvar_incremental_positive_nll_harm,5.640851802919127e-06,0.7496861802962308,uniform_low,False,True
llmjp,hotspot,simulated_saving_optimistic_codec,cvar_incremental_positive_nll_harm,0.7496861802962308,inf,uniform_full,False,True
llmjp,hotspot,simulated_saving_optimistic_codec,cvar_incremental_positive_nll_harm_ucb95,0.0,2.5503053711324643e-05,calib_static;uniform_low,False,True
llmjp,hotspot,simulated_saving_optimistic_codec,cvar_incremental_positive_nll_harm_ucb95,2.5503053711324643e-05,0.6646178958131193,uniform_low,False,True
llmjp,hotspot,simulated_saving_optimistic_codec,cvar_incremental_positive_nll_harm_ucb95,0.6646178958131193,inf,uniform_full,False,True
llmjp,hotspot,simulated_saving_serialized_tiles_codec,incremental_accuracy_harm,0.0,inf,uniform_full,False,True
llmjp,hotspot,simulated_saving_serialized_tiles_codec,incremental_accuracy_harm_ucb95,0.0,inf,uniform_full,False,True
llmjp,hotspot,simulated_saving_serialized_tiles_codec,cvar_incremental_positive_accuracy_harm,0.0,inf,uniform_full,False,True
llmjp,hotspot,simulated_saving_serialized_tiles_codec,cvar_incremental_positive_accuracy_harm_ucb95,0.0,inf,uniform_full,False,True
llmjp,hotspot,simulated_saving_serialized_tiles_codec,mean_incremental_positive_nll_harm,0.0,inf,uniform_full,False,True
llmjp,hotspot,simulated_saving_serialized_tiles_codec,cvar_incremental_positive_nll_harm,0.0,inf,uniform_full,False,True
llmjp,hotspot,simulated_saving_serialized_tiles_codec,cvar_incremental_positive_nll_harm_ucb95,0.0,inf,uniform_full,False,True
