sample_id,layer,bucket,predictor,accuracy,n_tokens
5,1,early,neighbor_same_layer,0.2823529411764706,255
5,1,early,freq_baseline_same_layer,0.3058823529411765,255
5,2,early,neighbor_same_layer,0.1843137254901961,255
5,2,early,freq_baseline_same_layer,0.050980392156862744,255
5,3,early,neighbor_same_layer,0.16862745098039217,255
5,3,early,freq_baseline_same_layer,0.0784313725490196,255
5,4,early,neighbor_same_layer,0.17254901960784313,255
5,4,early,freq_baseline_same_layer,0.10980392156862745,255
5,5,early,neighbor_same_layer,0.20392156862745098,255
5,5,early,freq_baseline_same_layer,0.1450980392156863,255
5,6,early,neighbor_same_layer,0.22745098039215686,255
5,6,early,freq_baseline_same_layer,0.08235294117647059,255
5,7,early,neighbor_same_layer,0.21568627450980393,255
5,7,early,freq_baseline_same_layer,0.1607843137254902,255
5,8,late,neighbor_same_layer,0.2549019607843137,255
5,8,late,freq_baseline_same_layer,0.09803921568627451,255
5,9,late,neighbor_same_layer,0.3803921568627451,255
5,9,late,freq_baseline_same_layer,0.19215686274509805,255
5,10,late,neighbor_same_layer,0.28627450980392155,255
5,10,late,freq_baseline_same_layer,0.12941176470588237,255
5,11,late,neighbor_same_layer,0.26666666666666666,255
5,11,late,freq_baseline_same_layer,0.07450980392156863,255
5,12,late,neighbor_same_layer,0.25098039215686274,255
5,12,late,freq_baseline_same_layer,0.10588235294117647,255
5,13,late,neighbor_same_layer,0.21568627450980393,255
5,13,late,freq_baseline_same_layer,0.1411764705882353,255
5,14,late,neighbor_same_layer,0.16470588235294117,255
5,14,late,freq_baseline_same_layer,0.30196078431372547,255
5,15,late,neighbor_same_layer,0.34901960784313724,255
5,15,late,freq_baseline_same_layer,0.39215686274509803,255
6,0,early,freq_baseline,0.22265625,256
6,0,early,top1_transition,0.19140625,256
6,0,early,topk_transition,0.27734375,256
6,1,early,freq_baseline,0.0546875,256
6,1,early,top1_transition,0.15234375,256
6,1,early,topk_transition,0.0546875,256
6,2,early,freq_baseline,0.07421875,256
6,2,early,top1_transition,0.1796875,256
6,2,early,topk_transition,0.078125,256
6,3,early,freq_baseline,0.08203125,256
6,3,early,top1_transition,0.25390625,256
6,3,early,topk_transition,0.08984375,256
6,4,early,freq_baseline,0.125,256
6,4,early,top1_transition,0.23828125,256
6,4,early,topk_transition,0.13671875,256
6,5,early,freq_baseline,0.16015625,256
6,5,early,top1_transition,0.40234375,256
6,5,early,topk_transition,0.19140625,256
6,6,early,freq_baseline,0.03125,256
6,6,early,top1_transition,0.27734375,256
6,6,early,topk_transition,0.0703125,256
6,7,early,freq_baseline,0.078125,256
6,7,early,top1_transition,0.26171875,256
6,7,early,topk_transition,0.1015625,256
6,8,late,freq_baseline,0.1015625,256
6,8,late,top1_transition,0.16796875,256
6,8,late,topk_transition,0.11328125,256
6,9,late,freq_baseline,0.1171875,256
6,9,late,top1_transition,0.18359375,256
6,9,late,topk_transition,0.1328125,256
6,10,late,freq_baseline,0.08203125,256
6,10,late,top1_transition,0.2109375,256
6,10,late,topk_transition,0.08984375,256
6,11,late,freq_baseline,0.4765625,256
6,11,late,top1_transition,0.32421875,256
6,11,late,topk_transition,0.48828125,256
6,12,late,freq_baseline,0.19140625,256
6,12,late,top1_transition,0.2265625,256
