arm_natural,phase,batch_size,prompt_len,repeat,seed,decode_step,latency_ms_natural,tokens_processed_natural,goodput_tokens_per_s_natural,arm_synthetic,latency_ms_synthetic,tokens_processed_synthetic,goodput_tokens_per_s_synthetic,natural_over_synthetic
natural,decode,1,128,4,20271132,14,43.6461105347,1,22.911548996,synthetic,47.0062065125,1,21.2737864676,0.928518035658
natural,decode,1,128,4,20271132,15,48.3459510803,1,20.6842554062,synthetic,43.3475837708,1,23.0693365814,1.11530901782
natural,prefill,4,128,0,20300728,-1,86.8436508179,512,5895.65264908,synthetic,90.3689575195,512,5665.66234749,0.960989848744
natural,decode,4,128,0,20300728,0,75.6141738892,4,52.9001349121,synthetic,75.279296875,4,53.1354590976,1.00444846097
natural,decode,4,128,0,20300728,1,80.9903030396,4,49.3886286368,synthetic,76.7754211426,4,52.1000072741,1.05489884437
natural,decode,4,128,0,20300728,2,76.6203536987,4,52.2054494257,synthetic,74.9254684448,4,53.3863862719,1.02262094971
natural,decode,4,128,0,20300728,3,84.5714569092,4,47.2972814492,synthetic,73.9604187012,4,54.0829820902,1.14346914734
natural,decode,4,128,0,20300728,4,76.9526748657,4,51.9799994864,synthetic,81.0027236938,4,49.3810555694,0.95000107844
natural,decode,4,128,0,20300728,5,73.5863342285,4,54.3579190611,synthetic,78.4966049194,4,50.9576179009,0.937446075586
natural,decode,4,128,0,20300728,6,79.280960083,4,50.453475788,synthetic,76.9932479858,4,51.9526075941,1.02971315222
natural,decode,4,128,0,20300728,7,73.4066848755,4,54.4909500652,synthetic,74.8757781982,4,53.4218153888,0.980379591931
natural,decode,4,128,0,20300728,8,77.5348510742,4,51.5897037859,synthetic,79.4333724976,4,50.3566684157,0.976099196551
natural,decode,4,128,0,20300728,9,72.8519058228,4,54.9059074684,synthetic,77.2626571655,4,51.7714526881,0.942912248885
natural,decode,4,128,0,20300728,10,75.0100479126,4,53.3261891082,synthetic,75.6368942261,4,52.8842444012,0.991712426589
natural,decode,4,128,0,20300728,11,77.494430542,4,51.6166126007,synthetic,75.3573150635,4,53.0804474208,1.02835976145
natural,decode,4,128,0,20300728,12,75.6907501221,4,52.8466159147,synthetic,82.3679046631,4,48.5626047714,0.918934995757
natural,decode,4,128,0,20300728,13,70.5312652588,4,56.7124378859,synthetic,76.6240997314,4,52.2028971827,0.920484097118
natural,decode,4,128,0,20300728,14,76.9147186279,4,52.0056508215,synthetic,73.4619216919,4,54.4499777283,1.04700117907
natural,decode,4,128,0,20300728,15,71.9124450684,4,55.6231956263,synthetic,80.9429779053,4,49.4175048104,0.888433400023
natural,prefill,4,128,1,20300829,-1,91.5129241943,512,5594.83815546,synthetic,86.6590042114,512,5908.21467035,1.05601172119
natural,decode,4,128,1,20300829,0,79.7183685303,4,50.1766415162,synthetic,71.1577301025,4,56.2131478089,1.12030510832
natural,decode,4,128,1,20300829,1,73.177116394,4,54.6618970125,synthetic,75.1220169067,4,53.2467066874,0.974110113216
natural,decode,4,128,1,20300829,2,76.8153610229,4,52.0729180561,synthetic,74.9680633545,4,53.3560535116,1.02464112831
natural,decode,4,128,1,20300829,3,69.9970550537,4,57.1452612818,synthetic,78.7763824463,4,50.776639848,0.88855381372
natural,decode,4,128,1,20300829,4,70.2063369751,4,56.9749138375,synthetic,70.5721588135,4,56.679575448,0.994816343378
natural,decode,4,128,1,20300829,5,67.7038421631,4,59.0808419759,synthetic,75.7680282593,4,52.7927160294,0.893567428354
natural,decode,4,128,1,20300829,6,72.6301422119,4,55.0735531858,synthetic,75.8382415771,4,52.74383895,0.957698130936
natural,decode,4,128,1,20300829,7,67.4811859131,4,59.2757810325,synthetic,70.8675537109,4,56.4433198346,0.952215539827
natural,decode,4,128,1,20300829,8,74.2015686035,4,53.9072161853,synthetic,70.4098587036,4,56.8102262048,1.05385197428
natural,decode,4,128,1,20300829,9,74.3515167236,4,53.7984990255,synthetic,72.4001312256,4,55.2485186461,1.02695278952
natural,decode,4,128,1,20300829,10,75.4711380005,4,53.0003933421,synthetic,74.5092163086,4,53.684633904,1.01291010347
natural,decode,4,128,1,20300829,11,67.122718811,4,59.5923417712,synthetic,80.3062057495,4,49.8093511288,0.835834767495
natural,decode,4,128,1,20300829,12,68.5196762085,4,58.377392033,synthetic,70.2187194824,4,56.9648667689,0.975803556567
natural,decode,4,128,1,20300829,13,74.3342437744,4,53.8110001111,synthetic,72.7843551636,4,54.9568652633,1.02129425489
natural,decode,4,128,1,20300829,14,81.5188140869,4,49.068427268,synthetic,82.4707489014,4,48.5020453104,0.988457303624
natural,decode,4,128,1,20300829,15,76.0196151733,4,52.6179985373,synthetic,70.7682571411,4,56.5225167553,1.07420499309
natural,prefill,4,128,2,20300930,-1,88.9953308105,512,5753.11081308,synthetic,86.4576644897,512,5921.97352336,1.02935154837
natural,decode,4,128,2,20300930,0,74.1650543213,4,53.9337567619,synthetic,70.236541748,4,56.9504121423,1.05593260254
natural,decode,4,128,2,20300930,1,82.608291626,4,48.4212894525,synthetic,83.4562530518,4,47.9293025236,0.989839450074
natural,decode,4,128,2,20300930,2,76.1991653442,4,52.4940133127,synthetic,64.4525146484,4,62.0611937613,1.18225279122
natural,decode,4,128,2,20300930,3,87.6472015381,4,45.6375095817,synthetic,71.0641937256,4,56.2871368871,1.23335250769
natural,decode,4,128,2,20300930,4,75.9774703979,4,52.6471857914,synthetic,74.4715194702,4,53.7118086009,1.020221837
natural,decode,4,128,2,20300930,5,74.1226272583,4,53.964627914,synthetic,75.1080627441,4,53.2565992765,0.986879764304
natural,decode,4,128,2,20300930,6,72.9287033081,4,54.848088867,synthetic,82.6041564941,4,48.4237134034,0.882869656968
natural,decode,4,128,2,20300930,7,75.298210144,4,53.1221126285,synthetic,72.5608978271,4,55.1261095133,1.03772434464
natural,decode,4,128,2,20300930,8,74.5011520386,4,53.69044492,synthetic,71.2684173584,4,56.1258429507,1.04535998974
natural,decode,4,128,2,20300930,9,71.6032028198,4,55.8634228983,synthetic,74.2880935669,4,53.8444292745,0.963858397515
natural,decode,4,128,2,20300930,10,76.6888961792,4,52.1587895939,synthetic,83.314239502,4,48.0110005674,0.920477659493
natural,decode,4,128,2,20300930,11,73.427772522,4,54.4753008653,synthetic,71.438369751,4,55.9923191689,1.02784781873
natural,decode,4,128,2,20300930,12,76.9760971069,4,51.964183043,synthetic,71.9946212769,4,55.559706115,1.06919233328
natural,decode,4,128,2,20300930,13,75.9738845825,4,52.6496706333,synthetic,74.5646057129,4,53.6447549311,1.0189001049
natural,decode,4,128,2,20300930,14,77.8610916138,4,51.373541227,synthetic,83.8391342163,4,47.7104163514,0.928696274617
natural,decode,4,128,2,20300930,15,76.1570587158,4,52.5230368327,synthetic,68.4117736816,4,58.4694678231,1.11321567352
natural,prefill,4,128,3,20301031,-1,86.6522521973,512,5908.67504326,synthetic,86.3856658936,512,5926.90922393,1.00308600161
natural,decode,4,128,3,20301031,0,75.8885116577,4,52.7089003674,synthetic,72.4591064453,4,55.2035513027,1.04732883665
natural,decode,4,128,3,20301031,1,76.6857910156,4,52.1609016093,synthetic,67.8294754028,4,58.9714128886,1.13056736117
natural,decode,4,128,3,20301031,2,77.0375366211,4,51.9227402049,synthetic,71.8127365112,4,55.7004257786,1.07275589768
natural,decode,4,128,3,20301031,3,77.1656646729,4,51.8365262187,synthetic,69.1643829346,4,57.8332348282,1.11568500142
natural,decode,4,128,3,20301031,4,78.1167373657,4,51.2054155728,synthetic,73.4113922119,4,54.4874559585,1.06409557171
natural,decode,4,128,3,20301031,5,71.841217041,4,55.6783440586,synthetic,81.6959075928,4,48.9620608653,0.879373510349
natural,decode,4,128,3,20301031,6,71.5284500122,4,55.9218045312,synthetic,67.889793396,4,58.9190186022,1.05359651921
natural,decode,4,128,3,20301031,7,72.3179855347,4,55.3112752025,synthetic,69.1401901245,4,57.853471227,1.04596162383
natural,decode,4,128,3,20301031,8,74.3116836548,4,53.8273364735,synthetic,69.8969955444,4,57.2270663259,1.06315991232
natural,decode,4,128,3,20301031,9,64.512802124,4,62.0031973237,synthetic,70.7813415527,4,56.5120681842,0.911437968097
natural,decode,4,128,3,20301031,10,67.896736145,4,58.9129938655,synthetic,73.3349761963,4,54.5442326086,0.925843842415
natural,decode,4,128,3,20301031,11,71.3157424927,4,56.0885978353,synthetic,71.6972808838,4,55.7901213364,0.994678481716
natural,decode,4,128,3,20301031,12,72.5421142578,4,55.1403834989,synthetic,73.0494384766,4,54.7574366541,0.993055056557
natural,decode,4,128,3,20301031,13,73.1807327271,4,54.6591958148,synthetic,72.5338592529,4,55.14665897,1.00891822772
natural,decode,4,128,3,20301031,14,72.104675293,4,55.4749048345,synthetic,69.7583694458,4,57.3407898117,1.0336347576
natural,decode,4,128,3,20301031,15,76.6420822144,4,52.1906488502,synthetic,71.8616333008,4,55.6625255546,1.06652296495
natural,prefill,4,128,4,20301132,-1,86.1681900024,512,5941.86787474,synthetic,86.1719360352,512,5941.60957218,0.999956528391
natural,decode,4,128,4,20301132,0,72.4955825806,4,55.1757756489,synthetic,74.9193954468,4,53.3907137951,0.967647725242
natural,decode,4,128,4,20301132,1,70.0204467773,4,57.1261707701,synthetic,73.9021453857,4,54.1256276001,0.947475156666
natural,decode,4,128,4,20301132,2,70.4895324707,4,56.7460140506,synthetic,75.7614059448,4,52.7973306477,0.930414788264
natural,decode,4,128,4,20301132,3,84.8563842773,4,47.138468532,synthetic,76.4870376587,4,52.2964429326,1.10942176446
natural,decode,4,128,4,20301132,4,71.0964126587,4,56.2616291092,synthetic,72.7293777466,4,54.9984081252,0.97754737991
natural,decode,4,128,4,20301132,5,72.5503997803,4,55.1340862644,synthetic,73.2880020142,4,54.5791929111,0.989935566346
natural,decode,4,128,4,20301132,6,69.9072647095,4,57.2186598435,synthetic,69.82006073,4,57.2901249036,1.00124898172
natural,decode,4,128,4,20301132,7,76.5854415894,4,52.2292477133,synthetic,71.6450271606,4,55.8308114118,1.06895683657
natural,decode,4,128,4,20301132,8,72.0084762573,4,55.5490160034,synthetic,72.8575668335,4,54.9016412961,0.98834588344
natural,decode,4,128,4,20301132,9,75.4529953003,4,53.013137306,synthetic,72.5784301758,4,55.1127930201,1.03960632818
natural,decode,4,128,4,20301132,10,73.5507507324,4,54.3842171585,synthetic,76.0550079346,4,52.593512362,0.96707307947
natural,decode,4,128,4,20301132,11,74.8654403687,4,53.4291921653,synthetic,74.007484436,4,54.0485875244,1.01159282658
natural,decode,4,128,4,20301132,12,63.8963508606,4,62.601384056,synthetic,70.2552337646,4,56.9352599893,0.909488837154
natural,decode,4,128,4,20301132,13,67.6550064087,4,59.123488598,synthetic,75.2646408081,4,53.1458060127,0.898894961595
natural,decode,4,128,4,20301132,14,68.0251846313,4,58.8017514642,synthetic,75.3592987061,4,53.0790502125,0.902678047691
natural,decode,4,128,4,20301132,15,67.6959686279,4,59.087713509,synthetic,74.5992660522,4,53.6198304846,0.907461590581
natural,prefill,8,128,0,20340728,-1,86.4493103027,1024,11845.0916082,synthetic,86.373916626,1024,11855.4308986,1.00087287551
natural,decode,8,128,0,20340728,0,80.1154556274,8,99.8558884468,synthetic,79.5104675293,8,100.615683049,1.00760891134
natural,decode,8,128,0,20340728,1,80.1806411743,8,99.7747072464,synthetic,80.1381759644,8,99.827577852,1.00052989988
natural,decode,8,128,0,20340728,2,81.0281906128,8,98.7310705015,synthetic,78.8445739746,8,101.465447737,1.02769520499
natural,decode,8,128,0,20340728,3,79.1578598022,8,101.06387439,synthetic,78.4408340454,8,101.987696808,1.00914097569
natural,decode,8,128,0,20340728,4,79.3693771362,8,100.794541782,synthetic,77.9093093872,8,102.683492678,1.018740607
natural,decode,8,128,0,20340728,5,88.4344329834,8,90.4625012013,synthetic,78.7856292725,8,101.541360701,1.12246908224
natural,decode,8,128,0,20340728,6,80.5366363525,8,99.3336742421,synthetic,78.2626876831,8,102.219847501,1.02905533578
natural,decode,8,128,0,20340728,7,81.7584991455,8,97.8491543217,synthetic,79.7004470825,8,100.375848478,1.02582234025
natural,decode,8,128,0,20340728,8,80.0109405518,8,99.9863261803,synthetic,79.3535690308,8,100.814621166,1.00828408261
natural,decode,8,128,0,20340728,9,81.1704940796,8,98.5579808367,synthetic,79.840675354,8,100.199553229,1.01665590527
natural,decode,8,128,0,20340728,10,81.6039352417,8,98.0344878749,synthetic,80.5479049683,8,99.3197775057,1.01311058647
natural,decode,8,128,0,20340728,11,82.2412490845,8,97.2747871544,synthetic,80.6287689209,8,99.2201680252,1.0199988191
natural,decode,8,128,0,20340728,12,80.4380187988,8,99.4554579969,synthetic,80.1950378418,8,99.7567956235,1.00302987521
natural,decode,8,128,0,20340728,13,79.4403839111,8,100.704447866,synthetic,80.8700180054,8,98.9241773072,0.982321827922
natural,decode,8,128,0,20340728,14,78.4494094849,8,101.976548358,synthetic,79.6096343994,8,100.490349696,0.985426074076
natural,decode,8,128,0,20340728,15,80.6781463623,8,99.1594423114,synthetic,80.4916152954,8,99.3892341536,1.00231739749
natural,prefill,8,128,1,20340829,-1,89.2244186401,1024,11476.6788689,synthetic,90.0894393921,1024,11366.4820972,0.990398200302
natural,decode,8,128,1,20340829,0,78.6778259277,8,101.680491367,synthetic,80.0900192261,8,99.8876024417,0.982367424656
natural,decode,8,128,1,20340829,1,76.589630127,8,104.452782795,synthetic,89.2936325073,8,89.5920546109,0.85772779062
natural,decode,8,128,1,20340829,2,79.4319076538,8,100.715194137,synthetic,80.8579177856,8,98.9389811052,0.982364001314
natural,decode,8,128,1,20340829,3,82.3859863281,8,97.1038929866,synthetic,87.318977356,8,91.6181137508,0.94350608336
natural,decode,8,128,1,20340829,4,81.4613723755,8,98.206054805,synthetic,76.769821167,8,104.20761542,1.06111192051
natural,decode,8,128,1,20340829,5,82.1370239258,8,97.3982208952,synthetic,88.3394241333,8,90.559793416,0.929788989815
natural,decode,8,128,1,20340829,6,81.9508132935,8,97.619531503,synthetic,80.8823699951,8,98.9090700542,1.01320984163
natural,decode,8,128,1,20340829,7,81.0434570312,8,98.71247221,synthetic,79.4625930786,8,100.676301767,1.01989444204
natural,decode,8,128,1,20340829,8,79.2045440674,8,101.00430593,synthetic,88.7567062378,8,90.1340342505,0.892378135971
natural,decode,8,128,1,20340829,9,79.8240356445,8,100.220440315,synthetic,78.6383666992,8,101.731512693,1.01507748692
natural,decode,8,128,1,20340829,10,80.7449264526,8,99.0774324959,synthetic,78.3583374023,8,102.095070738,1.03045737224
natural,decode,8,128,1,20340829,11,80.1834869385,8,99.7711661771,synthetic,80.0528945923,8,99.933925447,1.00163132572
natural,decode,8,128,1,20340829,12,81.5974731445,8,98.0422516985,synthetic,91.5941772461,8,87.3417966134,0.890858737945
natural,decode,8,128,1,20340829,13,80.4073257446,8,99.493422097,synthetic,80.903968811,8,98.8826644424,0.99386132629
natural,decode,8,128,1,20340829,14,88.8282852173,8,90.0614030816,synthetic,81.1507873535,8,98.5819147404,1.09460780498
natural,decode,8,128,1,20340829,15,82.4238052368,8,97.059338343,synthetic,80.4498214722,8,99.440867035,1.02453683213
natural,prefill,8,128,2,20340930,-1,88.2226867676,1024,11606.9917786,synthetic,97.5903015137,1024,10492.84595,0.904010802295
natural,decode,8,128,2,20340930,0,80.9010543823,8,98.8862266516,synthetic,77.8236465454,8,102.796519504,1.03954335184
natural,decode,8,128,2,20340930,1,78.8875808716,8,101.410132135,synthetic,80.1284179688,8,99.8397348007,0.984514394161
natural,decode,8,128,2,20340930,2,88.013923645,8,90.8947092538,synthetic,78.7304000854,8,101.612591722,1.11791536115
natural,decode,8,128,2,20340930,3,79.618019104,8,100.479766892,synthetic,79.4839324951,8,100.649272738,1.00168696496
natural,decode,8,128,2,20340930,4,80.1774368286,8,99.7786948104,synthetic,80.0004501343,8,99.9994373353,1.00221232123
natural,decode,8,128,2,20340930,5,82.3218917847,8,97.1794965661,synthetic,80.1408309937,8,99.8242706097,1.02721535033
natural,decode,8,128,2,20340930,6,81.9538269043,8,97.615941832,synthetic,80.1043167114,8,99.8697739202,1.0230887706
natural,decode,8,128,2,20340930,7,80.9674911499,8,98.8050869106,synthetic,79.0054702759,8,101.25881122,1.02483398766
natural,decode,8,128,2,20340930,8,81.5554885864,8,98.0927236004,synthetic,79.0412826538,8,101.212932425,1.03180876939
natural,decode,8,128,2,20340930,9,81.2753295898,8,98.4308527615,synthetic,78.100769043,8,102.431769854,1.04064698192
natural,decode,8,128,2,20340930,10,80.4502410889,8,99.4403483659,synthetic,79.4502105713,8,100.691992412,1.01258688316
natural,decode,8,128,2,20340930,11,79.1240005493,8,101.107122295,synthetic,79.0704956055,8,101.17553885,1.00067667394
natural,decode,8,128,2,20340930,12,77.2105636597,8,103.612765156,synthetic,78.4560317993,8,101.967940725,0.98412527232
natural,decode,8,128,2,20340930,13,78.931137085,8,101.354171439,synthetic,79.6305618286,8,100.463940179,0.991216629299
