layer,receiver_group,rank,count,mean_share,median_share,p75_share,p90_share,full_bytes,policy_bytes,policy_byte_saving
3,1,5,3430,0.07077585160732269,0.06956253200769424,0.08032684028148651,0.09176908433437347,3512320.0,3512320.0,0.0
3,1,6,3650,0.059344641864299774,0.05979754403233528,0.06949217617511749,0.07760538905858994,3737600.0,3737600.0,0.0
3,1,7,3474,0.053509216755628586,0.05291992798447609,0.061268653720617294,0.06950101256370544,3557376.0,3557376.0,0.0
3,1,8,3606,0.04783732071518898,0.04747068136930466,0.0550273060798645,0.062030620872974396,3692544.0,3692544.0,0.0
3,1,9,3604,0.04094475880265236,0.04129431024193764,0.048518143594264984,0.05562276020646095,3690496.0,3690496.0,0.0
3,1,10,3587,0.03835119307041168,0.03842014819383621,0.04447950795292854,0.050515066832304,3673088.0,3673088.0,0.0
3,1,11,3465,0.0344422273337841,0.03407755494117737,0.03989005088806152,0.04599686339497566,3548160.0,3548160.0,0.0
3,1,12,3446,0.03128299117088318,0.030849818140268326,0.036669109016656876,0.042211487889289856,3528704.0,3528704.0,0.0
3,1,13,3401,0.028691081330180168,0.02825910970568657,0.033677808940410614,0.03854808956384659,3482624.0,3482624.0,0.0
3,1,14,3467,0.026230718940496445,0.025695715099573135,0.03081810474395752,0.03583742678165436,3550208.0,3550208.0,0.0
3,1,15,3278,0.024163400754332542,0.023647116497159004,0.028539905324578285,0.033363789319992065,3356672.0,3356672.0,0.0
3,1,16,3249,0.02254035882651806,0.02199321985244751,0.02670701965689659,0.03128473088145256,3326976.0,3326976.0,0.0
3,2,1,4475,0.22698627412319183,0.20704691112041473,0.26959413290023804,0.34896883368492126,4582400.0,4582400.0,0.0
3,2,2,4328,0.13323114812374115,0.12784913182258606,0.1524631828069687,0.18072891235351562,4431872.0,4431872.0,0.0
