model_key,split,text_sha256,policy,period,document_mean_kl,document_cvar90_kl,document_p95_kl,total_candidate_forward_calls,audit_events,dangerous_steps,dangerous_step_recall,threshold_violation_fraction,diagnostic_high_forward_calls,diagnostic_low_forward_calls,physical_high_forward_calls,physical_low_forward_calls
olmoe,sealed,a3ec52aaeff96dfd6be199576cd14f9747423a5fcd68c5f0eb2d3ee92f30c7c6,fixed_4,4,0.03647879090203787,0.11196007020771503,0.10792826823890207,40,8,1,0.0,0.03125,24,0,32,32
olmoe,sealed,a3ec52aaeff96dfd6be199576cd14f9747423a5fcd68c5f0eb2d3ee92f30c7c6,fixed_8,8,0.03647879090203787,0.11196007020771503,0.10792826823890207,36,4,1,0.0,0.03125,28,0,32,32
olmoe,sealed,a3ec52aaeff96dfd6be199576cd14f9747423a5fcd68c5f0eb2d3ee92f30c7c6,full_shadow,1,0.031649382050090935,0.09092683717608452,0.0787908125668764,64,32,1,1.0,0.0,0,0,32,32
olmoe,sealed,301f7e20d8ae1f931fbcb243cab76f50b6b486d92f1bccfde85fe6b03d524bc4,always_bf16,,0.0,0.0,0.0,32,0,0,1.0,0.0,0,0,32,0
olmoe,sealed,301f7e20d8ae1f931fbcb243cab76f50b6b486d92f1bccfde85fe6b03d524bc4,always_low,,0.04294739428314642,0.13957402668893337,0.12747609727084636,32,0,1,0.0,0.03125,32,0,32,32
olmoe,sealed,301f7e20d8ae1f931fbcb243cab76f50b6b486d92f1bccfde85fe6b03d524bc4,triage_2_4_8,8,0.04294739428314642,0.13957402668893337,0.12747609727084636,36,4,1,0.0,0.03125,28,0,32,32
olmoe,sealed,301f7e20d8ae1f931fbcb243cab76f50b6b486d92f1bccfde85fe6b03d524bc4,hash_budget_matched_2_4_8,4,0.04294739428314642,0.13957402668893337,0.12747609727084636,40,8,1,0.0,0.03125,24,0,32,32
olmoe,sealed,301f7e20d8ae1f931fbcb243cab76f50b6b486d92f1bccfde85fe6b03d524bc4,fixed_2,2,0.035504162323377386,0.11321865767240524,0.10758840851485728,47,15,1,1.0,0.0,15,2,32,32
olmoe,sealed,301f7e20d8ae1f931fbcb243cab76f50b6b486d92f1bccfde85fe6b03d524bc4,fixed_4,4,0.04294739428314642,0.13957402668893337,0.12747609727084636,40,8,1,0.0,0.03125,24,0,32,32
olmoe,sealed,301f7e20d8ae1f931fbcb243cab76f50b6b486d92f1bccfde85fe6b03d524bc4,fixed_8,8,0.04294739428314642,0.13957402668893337,0.12747609727084636,36,4,1,0.0,0.03125,28,0,32,32
olmoe,sealed,301f7e20d8ae1f931fbcb243cab76f50b6b486d92f1bccfde85fe6b03d524bc4,full_shadow,1,0.03724097091344447,0.11321865767240524,0.10758840851485728,64,32,1,1.0,0.0,0,0,32,32
olmoe,sealed,a89b9f87fdf468997988c508f365d2846cec1d9c4380319479946740ebc8888a,always_bf16,,0.0,0.0,0.0,32,0,0,1.0,0.0,0,0,32,0
olmoe,sealed,a89b9f87fdf468997988c508f365d2846cec1d9c4380319479946740ebc8888a,always_low,,0.04957298944600552,0.17477385886013508,0.14137184172868728,32,0,2,0.0,0.0625,32,0,32,32
olmoe,sealed,a89b9f87fdf468997988c508f365d2846cec1d9c4380319479946740ebc8888a,triage_2_4_8,4,0.04957298944600552,0.17477385886013508,0.14137184172868728,40,8,2,0.0,0.0625,24,0,32,32
olmoe,sealed,a89b9f87fdf468997988c508f365d2846cec1d9c4380319479946740ebc8888a,hash_budget_matched_2_4_8,2,0.04957298944600552,0.17477385886013508,0.14137184172868728,48,16,2,0.0,0.0625,16,0,32,32
olmoe,sealed,a89b9f87fdf468997988c508f365d2846cec1d9c4380319479946740ebc8888a,fixed_2,2,0.04957298944600552,0.17477385886013508,0.14137184172868728,48,16,2,0.0,0.0625,16,0,32,32
