layer,rank,precision,delta_kl,local_relative_mse,bytes_per_element,byte_saving_per_rank
9,2,int4,0.1316888879518956,0.0032047865821277,0.5,0.09375
9,2,drop,1.8769615199416876,0.04145264580582301,0.0,0.125
9,3,int8,0.029177625779993832,7.37526444888371e-06,1.0,0.0625
9,3,int4,0.11671271687373519,0.002037007279925325,0.5,0.09375
9,3,drop,1.0373008148744702,0.02398523146803758,0.0,0.125
9,4,int8,0.028562227438669652,4.362921796259324e-06,1.0,0.0625
9,4,int4,0.08402285270858556,0.001100687394847573,0.5,0.09375
9,4,drop,0.6791473850607872,0.015159523522395071,0.0,0.125
9,5,int8,0.031411174742970616,2.8941194757026316e-06,1.0,0.0625
9,5,int4,0.05963257257826626,0.0006526630121806619,0.5,0.09375
9,5,drop,0.43588395696133375,0.010359675376531981,0.0,0.125
9,6,int8,0.024944267177488655,2.0354580953324075e-06,1.0,0.0625
9,6,int4,0.05614271154627204,0.00039806935537152824,0.5,0.09375
9,6,drop,0.30004364624619484,0.006677142898378144,0.0,0.125
9,7,int8,0.028763876762241125,1.4877857166872752e-06,1.0,0.0625
9,7,int4,0.05093753960682079,0.00025401795195328756,0.5,0.09375
9,7,drop,0.22229068516753614,0.0044719605864040534,0.0,0.125
9,8,int8,0.027965770103037357,1.0601436836827539e-06,1.0,0.0625
9,8,int4,0.041824877727776766,0.00014013933301577417,0.5,0.09375
9,8,drop,0.16483044694177806,0.0029133534512017613,0.0,0.125
10,1,int8,0.3385073427343741,0.002855747900563313,1.0,0.0625
10,1,int4,2.6785923056304455,0.014151185262195502,0.5,0.09375
10,1,drop,10.033477440476418,0.7291934080789135,0.0,0.125
10,2,int8,0.02299443236552179,1.5464468526013332e-05,1.0,0.0625
10,2,int4,0.11374577460810542,0.004246725624828852,0.5,0.09375
10,2,drop,1.7016000133007765,0.07907604452960938,0.0,0.125
10,3,int8,0.02957580500515178,9.328093979026868e-06,1.0,0.0625
10,3,int4,0.08373519964516163,0.002312086563635013,0.5,0.09375
10,3,drop,0.9456425840035081,0.05106258184700598,0.0,0.125
10,4,int8,0.027242283569648862,5.976141071826265e-06,1.0,0.0625
10,4,int4,0.06575193855678663,0.0013091982448402797,0.5,0.09375
10,4,drop,0.5995424445718527,0.03129823751924543,0.0,0.125
10,5,int8,0.027900929970201105,4.289700132591122e-06,1.0,0.0625
10,5,int4,0.04889732738956809,0.0008171300440578148,0.5,0.09375
10,5,drop,0.4237695587798953,0.02111548110048547,0.0,0.125
