block,ordinal,plan_id,total_rows,active_count,shape,replica,max_fraction,cv,expert_ids,counts,latency_us
3,27,r64_a2_uniform_rep1,64,2,uniform,1,0.5,0.0,4;5,32;32,163.7440025806427
3,28,r128_a8_uniform_rep2,128,8,uniform,2,0.125,0.0,0;6;9;12;25;45;56;60,16;16;16;16;16;16;16;16,465.56800603866577
3,29,r32_a2_zipf_rep1,32,2,zipf,1,0.65625,0.3125,8;20,21;11,156.19200468063354
3,30,r128_a1_uniform_rep2,128,1,uniform,2,1.0,0.0,38,128,104.00000214576721
3,31,r256_a2_uniform_rep2,256,2,uniform,2,0.5,0.0,27;45,128;128,150.176003575325
3,32,r64_a16_uniform_rep1,64,16,uniform,1,0.0625,0.0,15;18;20;28;29;31;35;36;39;44;45;50;52;53;54;59,4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4,897.7919816970825
3,33,r128_a8_linear_skew_rep0,128,8,linear_skew,0,0.21875,0.4810876349481454,2;4;14;17;27;37;53;57,28;24;21;18;14;11;8;4,501.6639828681946
3,34,r128_a4_zipf_rep0,128,4,zipf,0,0.46875,0.5326268921581034,37;40;48;52,60;31;21;16,282.943993806839
3,35,r128_a1_zipf_rep2,128,1,zipf,2,1.0,0.0,38,128,104.19200360774994
3,36,r128_a8_zipf_rep0,128,8,zipf,0,0.3515625,0.7551903733496608,2;4;14;17;27;37;53;57,45;23;16;12;10;8;7;7,486.62400245666504
3,37,r64_a16_zipf_rep2,64,16,zipf,2,0.234375,0.8244316223920575,0;5;8;14;25;27;33;34;35;36;40;42;43;46;50;56,15;8;6;5;4;3;3;3;3;2;2;2;2;2;2;2,898.9120125770569
3,38,r32_a2_linear_skew_rep0,32,2,linear_skew,0,0.65625,0.3125,7;54,21;11,158.9760035276413
3,39,r256_a4_linear_skew_rep2,256,4,linear_skew,2,0.3984375,0.44373349441134147,0;22;24;46,102;77;51;26,272.0000147819519
3,40,r256_a1_uniform_rep2,256,1,uniform,2,1.0,0.0,34,256,115.48800021409988
3,41,r256_a4_uniform_rep2,256,4,uniform,2,0.25,0.0,0;22;24;46,64;64;64;64,279.5200049877167
3,42,r32_a4_hot50_rep1,32,4,hot50,1,0.46875,0.5077524002897476,22;32;37;45,15;6;6;5,257.82400369644165
3,43,r128_a1_zipf_rep1,128,1,zipf,1,1.0,0.0,48,128,101.98400169610977
3,44,r128_a4_uniform_rep0,128,4,uniform,0,0.25,0.0,37;40;48;52,32;32;32;32,280.70399165153503
3,45,r128_a2_hot50_rep1,128,2,hot50,1,0.5,0.0,38;42,64;64,163.10399770736694
3,46,r256_a8_uniform_rep1,256,8,uniform,1,0.125,0.0,17;27;29;32;33;41;54;58,32;32;32;32;32;32;32;32,536.2560153007507
3,47,r256_a4_uniform_rep0,256,4,uniform,0,0.25,0.0,6;27;28;50,64;64;64;64,281.3760042190552
3,48,r256_a2_zipf_rep0,256,2,zipf,0,0.6640625,0.328125,4;62,170;86,163.96799683570862
3,49,r256_a8_hot50_rep2,256,8,hot50,2,0.48828125,1.0985386244347533,19;23;28;37;55;57;58;60,125;19;19;19;19;19;18;18,516.1280035972595
3,50,r256_a8_linear_skew_rep0,256,8,linear_skew,0,0.21875,0.4876402041977261,0;5;10;21;27;34;36;50,56;49;42;35;29;22;15;8,505.3120255470276
3,51,r32_a8_uniform_rep1,32,8,uniform,1,0.125,0.0,12;15;17;18;39;41;47;58,4;4;4;4;4;4;4;4,469.8239862918854
3,52,r32_a1_uniform_rep1,32,1,uniform,1,1.0,0.0,45,32,114.9120032787323
3,53,r32_a4_hot50_rep0,32,4,hot50,0,0.46875,0.5077524002897476,5;35;54;57,15;6;6;5,255.90398907661438
3,54,r128_a4_zipf_rep1,128,4,zipf,1,0.46875,0.5326268921581034,5;9;41;59,60;31;21;16,276.0320007801056
3,55,r256_a4_linear_skew_rep1,256,4,linear_skew,1,0.3984375,0.44373349441134147,36;50;54;61,102;77;51;26,270.55999636650085
3,56,r32_a4_linear_skew_rep1,32,4,linear_skew,1,0.375,0.3644344934278313,22;32;37;45,12;9;7;4,254.88001108169556
3,57,r32_a1_hot50_rep2,32,1,hot50,2,1.0,0.0,10,32,108.99200290441513
3,58,r32_a4_zipf_rep0,32,4,zipf,0,0.4375,0.46770717334674267,5;35;54;57,14;8;6;4,254.91198897361755
3,59,r128_a1_hot50_rep1,128,1,hot50,1,1.0,0.0,48,128,112.86400258541107
3,60,r64_a16_uniform_rep2,64,16,uniform,2,0.0625,0.0,0;5;8;14;25;27;33;34;35;36;40;42;43;46;50;56,4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4,899.8720049858093
3,61,r128_a8_uniform_rep1,128,8,uniform,1,0.125,0.0,5;19;32;34;38;49;54;55,16;16;16;16;16;16;16;16,470.4959988594055
3,62,r32_a2_linear_skew_rep1,32,2,linear_skew,1,0.65625,0.3125,8;20,21;11,157.44000673294067
3,63,r64_a2_zipf_rep0,64,2,zipf,0,0.65625,0.3125,16;17,42;22,160.99199652671814
3,64,r64_a2_zipf_rep2,64,2,zipf,2,0.65625,0.3125,45;50,42;22,159.32799875736237
3,65,r256_a1_zipf_rep2,256,1,zipf,2,1.0,0.0,34,256,111.48799955844879
3,66,r64_a2_linear_skew_rep0,64,2,linear_skew,0,0.65625,0.3125,16;17,42;22,161.8880033493042
3,67,r64_a2_hot50_rep0,64,2,hot50,0,0.5,0.0,16;17,32;32,157.56799280643463
3,68,r32_a8_hot50_rep2,32,8,hot50,2,0.40625,0.8569568250501305,4;10;18;29;34;60;61;63,13;3;3;3;3;3;2;2,471.2960124015808
3,69,r128_a16_uniform_rep2,128,16,uniform,2,0.0625,0.0,2;3;4;5;10;12;24;25;30;36;39;49;55;56;59;60,8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8,892.2560214996338
3,70,r128_a16_linear_skew_rep1,128,16,linear_skew,1,0.109375,0.4759858191164943,3;6;12;15;21;27;30;33;40;42;45;46;48;52;60;62,14;13;13;12;11;10;9;8;8;7;6;5;4;3;3;2,904.1919708251953
3,71,r256_a1_uniform_rep0,256,1,uniform,0,1.0,0.0,62,256,114.14399743080139
3,72,r32_a8_zipf_rep2,32,8,zipf,2,0.3125,0.6123724356957945,4;10;18;29;34;60;61;63,10;5;4;3;3;3;2;2,469.4400131702423
3,73,r256_a8_zipf_rep2,256,8,zipf,2,0.359375,0.7842131307081003,19;23;28;37;55;57;58;60,92;47;32;24;19;16;14;12,496.16000056266785
3,74,r128_a1_uniform_rep0,128,1,uniform,0,1.0,0.0,48,128,103.29599678516388
3,75,r32_a2_zipf_rep0,32,2,zipf,0,0.65625,0.3125,7;54,21;11,156.3519984483719
3,76,r256_a1_linear_skew_rep0,256,1,linear_skew,0,1.0,0.0,62,256,107.39199817180634
3,77,r64_a8_uniform_rep0,64,8,uniform,0,0.125,0.0,7;11;36;41;44;47;48;51,8;8;8;8;8;8;8;8,473.4399914741516
3,78,r32_a4_zipf_rep1,32,4,zipf,1,0.4375,0.46770717334674267,22;32;37;45,14;8;6;4,263.90400528907776
3,79,r32_a1_zipf_rep1,32,1,zipf,1,1.0,0.0,45,32,109.47199910879135
3,80,r64_a8_uniform_rep2,64,8,uniform,2,0.125,0.0,1;5;18;35;46;56;59;60,8;8;8;8;8;8;8;8,467.45601296424866
3,81,r256_a2_uniform_rep0,256,2,uniform,0,0.5,0.0,4;62,128;128,155.39200603961945
3,82,r128_a16_zipf_rep0,128,16,zipf,0,0.265625,0.967236721283885,11;12;13;17;18;22;24;33;41;43;47;50;57;60;62;63,34;18;12;9;8;6;6;5;5;4;4;4;4;3;3;3,908.9599847793579
3,83,r32_a1_zipf_rep2,32,1,zipf,2,1.0,0.0,10,32,108.73600095510483
3,84,r64_a1_hot50_rep0,64,1,hot50,0,1.0,0.0,39,64,109.37599837779999
3,85,r128_a2_uniform_rep0,128,2,uniform,0,0.5,0.0,9;32,64;64,165.95199704170227
3,86,r64_a1_linear_skew_rep1,64,1,linear_skew,1,1.0,0.0,24,64,104.96000200510025
3,87,r128_a16_linear_skew_rep0,128,16,linear_skew,0,0.109375,0.4759858191164943,11;12;13;17;18;22;24;33;41;43;47;50;57;60;62;63,14;13;13;12;11;10;9;8;8;7;6;5;4;3;3;2,895.2959775924683
3,88,r32_a1_hot50_rep0,32,1,hot50,0,1.0,0.0,37,32,111.13599687814713
3,89,r64_a16_hot50_rep2,64,16,hot50,2,0.390625,1.3607213160673275,0;5;8;14;25;27;33;34;35;36;40;42;43;46;50;56,25;3;3;3;3;3;3;3;3;3;2;2;2;2;2;2,904.8960208892822
3,90,r32_a4_linear_skew_rep0,32,4,linear_skew,0,0.375,0.3644344934278313,5;35;54;57,12;9;7;4,257.3759853839874
3,91,r256_a2_linear_skew_rep2,256,2,linear_skew,2,0.6640625,0.328125,27;45,170;86,160.5439931154251
3,92,r32_a2_zipf_rep2,32,2,zipf,2,0.65625,0.3125,1;48,21;11,157.95199573040009
3,93,r64_a16_hot50_rep0,64,16,hot50,0,0.390625,1.3607213160673275,3;8;9;10;16;19;23;25;26;27;33;36;51;55;57;59,25;3;3;3;3;3;3;3;3;3;2;2;2;2;2;2,895.3920006752014
3,94,r32_a2_hot50_rep1,32,2,hot50,1,0.5,0.0,8;20,16;16,152.0320028066635
3,95,r64_a8_hot50_rep2,64,8,hot50,2,0.453125,0.9921567416492215,1;5;18;35;46;56;59;60,29;5;5;5;5;5;5;5,473.7280011177063
3,96,r256_a4_hot50_rep0,256,4,hot50,0,0.49609375,0.5683291712335379,6;27;28;50,127;43;43;43,277.536004781723
3,97,r64_a8_linear_skew_rep2,64,8,linear_skew,2,0.203125,0.42389562394532926,1;5;18;35;46;56;59;60,13;12;10;9;7;6;4;3,472.06398844718933
3,98,r256_a1_zipf_rep0,256,1,zipf,0,1.0,0.0,62,256,113.15199732780457
3,99,r32_a16_zipf_rep2,32,16,zipf,2,0.1875,0.6123724356957945,2;4;11;15;18;19;23;30;32;39;45;47;53;54;58;60,6;3;3;2;2;2;2;2;2;2;1;1;1;1;1;1,896.7040181159973
3,100,r128_a1_hot50_rep0,128,1,hot50,0,1.0,0.0,48,128,103.71199995279312
3,101,r256_a8_zipf_rep1,256,8,zipf,1,0.359375,0.7842131307081003,17;27;29;32;33;41;54;58,92;47;32;24;19;16;14;12,506.3999891281128
3,102,r32_a1_linear_skew_rep2,32,1,linear_skew,2,1.0,0.0,10,32,107.87200182676315
3,103,r128_a4_linear_skew_rep0,128,4,linear_skew,0,0.3984375,0.44028133761266786,37;40;48;52,51;38;26;13,276.16000175476074
3,104,r32_a1_uniform_rep2,32,1,uniform,2,1.0,0.0,10,32,104.89600151777267
3,105,r256_a2_hot50_rep1,256,2,hot50,1,0.5,0.0,1;5,128;128,150.94399452209473
3,106,r256_a1_linear_skew_rep2,256,1,linear_skew,2,1.0,0.0,34,256,107.87200182676315
3,107,r128_a2_uniform_rep2,128,2,uniform,2,0.5,0.0,23;32,64;64,161.98399662971497
3,108,r64_a4_hot50_rep1,64,4,hot50,1,0.484375,0.5412658773652742,8;9;28;49,31;11;11;11,265.1199996471405
3,109,r128_a8_linear_skew_rep1,128,8,linear_skew,1,0.21875,0.4810876349481454,5;19;32;34;38;49;54;55,28;24;21;18;14;11;8;4,495.5199956893921
3,110,r32_a16_linear_skew_rep2,32,16,linear_skew,2,0.09375,0.3535533905932738,2;4;11;15;18;19;23;30;32;39;45;47;53;54;58;60,3;3;3;3;2;2;2;2;2;2;2;2;1;1;1;1,885.6959939002991
3,111,r128_a2_uniform_rep1,128,2,uniform,1,0.5,0.0,38;42,64;64,164.12800550460815
3,112,r32_a8_zipf_rep0,32,8,zipf,0,0.3125,0.6123724356957945,2;11;19;21;22;41;43;52,10;5;4;3;3;3;2;2,467.48799085617065
3,113,r256_a16_linear_skew_rep1,256,16,linear_skew,1,0.11328125,0.5019493251315316,7;16;19;20;21;25;27;34;35;36;40;47;56;57;60;63,29;27;26;24;22;20;19;17;15;13;12;10;8;6;5;3,957.9200148582458
3,114,r256_a1_linear_skew_rep1,256,1,linear_skew,1,1.0,0.0,13,256,114.17599767446518
3,115,r32_a4_uniform_rep1,32,4,uniform,1,0.25,0.0,22;32;37;45,8;8;8;8,258.6880028247833
3,116,r32_a8_uniform_rep2,32,8,uniform,2,0.125,0.0,4;10;18;29;34;60;61;63,4;4;4;4;4;4;4;4,469.8239862918854
3,117,r32_a1_linear_skew_rep1,32,1,linear_skew,1,1.0,0.0,45,32,108.64000022411346
3,118,r64_a4_linear_skew_rep2,64,4,linear_skew,2,0.390625,0.4192627457812106,11;20;46;57,25;19;13;7,269.27998661994934
3,119,r128_a4_uniform_rep1,128,4,uniform,1,0.25,0.0,5;9;41;59,32;32;32;32,279.3920040130615
3,120,r32_a16_linear_skew_rep0,32,16,linear_skew,0,0.09375,0.3535533905932738,3;4;5;7;8;9;15;19;21;23;25;30;36;38;45;62,3;3;3;3;2;2;2;2;2;2;2;2;1;1;1;1,890.6239867210388
3,121,r256_a16_zipf_rep1,256,16,zipf,1,0.28125,1.0404419884116558,7;16;19;20;21;25;27;34;35;36;40;47;56;57;60;63,72;37;25;19;15;13;11;10;9;8;7;7;6;6;6;5,928.1600117683411
