phase,batch_size,module_name,samples,latency_median_ms,latency_p95_ms,layer_index,share_of_sum_of_layer_medians
prefill,32,model.layers.6.block_sparse_moe,5,5.74147176743,6.06787853241,6,0.0634956950267
prefill,32,model.layers.7.block_sparse_moe,5,5.60627222061,6.34961919785,7,0.0620005053715
prefill,32,model.layers.8.block_sparse_moe,5,5.7407040596,6.12945280075,8,0.0634872048444
prefill,32,model.layers.9.block_sparse_moe,5,5.71366405487,6.18862714767,9,0.0631881658587
prefill,32,model.layers.10.block_sparse_moe,5,5.52470397949,5.9007361412,10,0.0610984314135
prefill,32,model.layers.11.block_sparse_moe,5,5.68160009384,6.01271677017,11,0.0628335662763
prefill,32,model.layers.12.block_sparse_moe,5,5.67251205444,6.04973449707,12,0.0627330604476
prefill,32,model.layers.13.block_sparse_moe,5,5.69011211395,6.05496320724,13,0.0629277018316
prefill,32,model.layers.14.block_sparse_moe,5,5.60819196701,6.11082229614,14,0.0620217361006
prefill,32,model.layers.15.block_sparse_moe,5,5.81107187271,6.0984960556,15,0.0642654117889
