model,placement,policy,policy_family,budget_fraction,shadow_count,candidate_count,selection_split,evaluation_split,mean_uncovered_mass,p50_uncovered_mass,p95_uncovered_mass,p99_uncovered_mass,cvar95_uncovered_mass,max_uncovered_mass,fraction_mass_le_0p10,fraction_mass_le_0p20,fraction_fully_covered,request_cvar95_mean,cvar95_reduction_vs_no_shadow
olmoe_e64k8,round_robin,oracle_cvar,oracle_cvar,0.02,20,1024,historical oracle,historical test,0.47765026214005024,0.47931383550167084,0.7616904288530348,0.8610847383737565,0.8218726669615015,1.0000001192092896,0.012842178344726562,0.05696296691894531,0.0019245147705078125,0.8213601962826942,0.042575844982775
olmoe_e64k8,round_robin,frequency,frequency,0.05,51,1024,calibration,historical test,0.4305457821875174,0.42487917095422745,0.745352765917778,0.8737849573045969,0.8199533918184952,1.0000001192092896,0.030370712280273438,0.10938835144042969,0.0070285797119140625,0.8181730727365482,0.044811666243058434
olmoe_e64k8,round_robin,gate_mass,gate_mass,0.05,51,1024,calibration,historical test,0.42916646450607043,0.42172525078058243,0.7460459306836128,0.875734269618988,0.8211956069318372,1.0000001192092896,0.028400421142578125,0.10985565185546875,0.0061283111572265625,0.8193165045997686,0.043364572547099356
olmoe_e64k8,round_robin,cvar_greedy,cvar_greedy,0.05,51,1024,calibration,historical test,0.4467937693110158,0.4483643304556608,0.7198962718248367,0.8203538590669632,0.7814991390282843,1.0000001192092896,0.017847061157226562,0.07491111755371094,0.0028095245361328125,0.7806454706317731,0.08960818030721474
olmoe_e64k8,round_robin,oracle_cvar,oracle_cvar,0.05,51,1024,historical oracle,historical test,0.44838932925670827,0.4498678296804428,0.7191728860139844,0.8193406641483307,0.7813124156124934,1.0000001192092896,0.01705169677734375,0.07236480712890625,0.0025844573974609375,0.7803766462944889,0.08982570002258183
olmoe_e64k8,round_robin,frequency,frequency,0.1,102,1024,calibration,historical test,0.38385900570530396,0.37294332683086395,0.7080762743949889,0.8415997219085694,0.7885890638003499,1.0000001192092896,0.05603599548339844,0.17082977294921875,0.016038894653320312,0.7854006164985504,0.08134891399151356
olmoe_e64k8,round_robin,gate_mass,gate_mass,0.1,102,1024,calibration,historical test,0.3818699718790808,0.37088438868522644,0.7008845806121826,0.8364148759841918,0.7828203062353691,1.0000001192092896,0.05425834655761719,0.17087745666503906,0.014423370361328125,0.7801754396219975,0.08806911294589681
olmoe_e64k8,round_robin,cvar_greedy,cvar_greedy,0.1,102,1024,calibration,historical test,0.40492893459377477,0.4034714847803116,0.6650894675403831,0.772868845909834,0.7309172019244147,1.0000001192092896,0.024820327758789062,0.10009574890136719,0.0041408538818359375,0.7292112166879389,0.14853259808819352
olmoe_e64k8,round_robin,oracle_cvar,oracle_cvar,0.1,102,1024,historical oracle,historical test,0.40539186805465377,0.40494462847709656,0.663001737743616,0.7678014659881591,0.7271790912505947,1.0000001192092896,0.024272918701171875,0.10000038146972656,0.0039215087890625,0.7253605133053853,0.1528872354877734
llmjp_e32k16,calibration_coactivation_balanced,frequency,frequency,0.0,0,512,calibration,historical test,0.4999999991491251,0.5,0.7256313562393188,0.8015137881040573,0.7722758782443784,0.9480813145637512,0.0002593994140625,0.0103912353515625,0.0,0.7715899861907607,0.0
llmjp_e32k16,calibration_coactivation_balanced,gate_mass,gate_mass,0.0,0,512,calibration,historical test,0.4999999991491251,0.5,0.7256313562393188,0.8015137881040573,0.7722758782443784,0.9480813145637512,0.0002593994140625,0.0103912353515625,0.0,0.7715899861907607,0.0
llmjp_e32k16,calibration_coactivation_balanced,cvar_greedy,cvar_greedy,0.0,0,512,calibration,historical test,0.4999999991491251,0.5,0.7256313562393188,0.8015137881040573,0.7722758782443784,0.9480813145637512,0.0002593994140625,0.0103912353515625,0.0,0.7715899861907607,0.0
llmjp_e32k16,calibration_coactivation_balanced,oracle_cvar,oracle_cvar,0.0,0,512,historical oracle,historical test,0.4999999991491251,0.5,0.7256313562393188,0.8015137881040573,0.7722758782443784,0.9480813145637512,0.0002593994140625,0.0103912353515625,0.0,0.7715899861907607,0.0
llmjp_e32k16,calibration_coactivation_balanced,frequency,frequency,0.02,10,512,calibration,historical test,0.4744460597949587,0.47498171776533127,0.7124992251396174,0.7963237649202347,0.7634555145538597,0.9480813145637512,0.0010128021240234375,0.026905059814453125,0.0,0.7629313275042011,0.011421260120891064
llmjp_e32k16,calibration_coactivation_balanced,gate_mass,gate_mass,0.02,10,512,calibration,historical test,0.47180234720871894,0.47376130521297455,0.7064476698637007,0.7937771791219711,0.7596001253549302,0.9480813145637512,0.0011157989501953125,0.029092788696289062,0.0,0.7590475786664744,0.01641350357629212
llmjp_e32k16,calibration_coactivation_balanced,cvar_greedy,cvar_greedy,0.02,10,512,calibration,historical test,0.4803227822822489,0.48254822939634323,0.6861572265625,0.7598876953125,0.7316700724298053,0.9374447464942932,0.0002918243408203125,0.011915206909179688,0.0,0.7311093201314379,0.0525794045346627
llmjp_e32k16,calibration_coactivation_balanced,oracle_cvar,oracle_cvar,0.02,10,512,historical oracle,historical test,0.4803227822822489,0.48254822939634323,0.6861572265625,0.7598876953125,0.7316700724298053,0.9374447464942932,0.0002918243408203125,0.011915206909179688,0.0,0.7311093201314379,0.0525794045346627
llmjp_e32k16,calibration_coactivation_balanced,frequency,frequency,0.05,26,512,calibration,historical test,0.442692579608174,0.4391314759850502,0.6797265410423279,0.7741321611404419,0.7367276788134047,0.9375267419964075,0.0013484954833984375,0.03624725341796875,0.0,0.7358135725020342,0.04603044123530786
llmjp_e32k16,calibration_coactivation_balanced,gate_mass,gate_mass,0.05,26,512,calibration,historical test,0.44048852756281853,0.4368433952331543,0.677978515625,0.7710253360122443,0.7343314678120737,0.9480813145637512,0.00180816650390625,0.03934478759765625,1.9073486328125e-06,0.7334508124009029,0.0491332326973154
llmjp_e32k16,calibration_coactivation_balanced,cvar_greedy,cvar_greedy,0.05,26,512,calibration,historical test,0.4565555232488472,0.4584758151322603,0.6526727080345154,0.7272615548968315,0.6984129804753486,0.9374447464942932,0.0003662109375,0.015209197998046875,0.0,0.6974516634554719,0.09564315013560043
llmjp_e32k16,calibration_coactivation_balanced,oracle_cvar,oracle_cvar,0.05,26,512,historical oracle,historical test,0.4553808008539417,0.4579062918201089,0.6524639897048472,0.726850688457489,0.6981572491124638,0.9374447464942932,0.00061798095703125,0.017513275146484375,0.0,0.6971614106976187,0.09597429004309843
