layer,rank,count,mean_share,median_share,p75_share,p90_share,rank1_over_rankk_median
12,2,24235,0.1915959268808365,0.1817910224199295,0.22777390480041504,0.2799381613731384,
12,3,24235,0.15051719546318054,0.14196231961250305,0.17979173362255096,0.22221630811691284,
12,4,24235,0.11930493265390396,0.11065811663866043,0.14163652062416077,0.177603080868721,
12,5,24235,0.09315284341573715,0.0866706445813179,0.11180828511714935,0.14161060750484467,
12,6,24235,0.07334018498659134,0.06829332560300827,0.08873219788074493,0.11218836903572083,
12,7,24235,0.057826049625873566,0.05342036485671997,0.07008277624845505,0.08916293829679489,
12,8,24235,0.046585265547037125,0.042774446308612823,0.05691180378198624,0.07307123392820358,5.721537113189697
13,1,24235,0.28088289499282837,0.26014280319213867,0.3379549980163574,0.4254510998725891,
13,2,24235,0.19284987449645996,0.1839616745710373,0.2325494885444641,0.2838099002838135,
13,3,24235,0.14839045703411102,0.1403600424528122,0.18025535345077515,0.2231948971748352,
13,4,24235,0.1162041649222374,0.10833767801523209,0.1406385898590088,0.17866532504558563,
13,5,24235,0.0897357389330864,0.0825091078877449,0.10876969993114471,0.14069655537605286,
13,6,24235,0.06975043565034866,0.06376908719539642,0.0844518393278122,0.1101076751947403,
13,7,24235,0.05610552430152893,0.050999123603105545,0.06818591058254242,0.08901335299015045,
13,8,24235,0.046080902218818665,0.041747819632291794,0.05594347417354584,0.07327808439731598,6.162117004394531
14,1,24235,0.2622387707233429,0.2398802936077118,0.30911022424697876,0.39631810784339905,
14,2,24235,0.18913598358631134,0.1785716563463211,0.22618268430233002,0.28028449416160583,
14,3,24235,0.15267129242420197,0.14065061509609222,0.18576252460479736,0.2388124018907547,
14,4,24235,0.12474308907985687,0.11270808428525925,0.1504111886024475,0.20233027637004852,
14,5,24235,0.09695164114236832,0.0861017182469368,0.11630583554506302,0.1581660509109497,
14,6,24235,0.07362417876720428,0.06564246863126755,0.08842487633228302,0.11900258809328079,
14,7,24235,0.05604783818125725,0.050860997289419174,0.06763884425163269,0.08863922208547592,
14,8,24235,0.044587232172489166,0.04051307216286659,0.05456557869911194,0.07115776836872101,5.875576972961426
15,1,24235,0.22805076837539673,0.21320176124572754,0.27184921503067017,0.34342724084854126,
15,2,24235,0.17456282675266266,0.16733700037002563,0.2095550149679184,0.25138479471206665,
15,3,24235,0.1507512629032135,0.14331500232219696,0.18100547790527344,0.21982774138450623,
15,4,24235,0.12889143824577332,0.11943481117486954,0.15444475412368774,0.19513554871082306,
15,5,24235,0.1086566299200058,0.09764593094587326,0.12957660853862762,0.17409208416938782,
15,6,24235,0.08694645762443542,0.07774491608142853,0.10230701416730881,0.13914789259433746,
15,7,24235,0.06760577112436295,0.062209293246269226,0.08012247085571289,0.10336769372224808,
15,8,24235,0.05453484505414963,0.05187659710645676,0.0670943558216095,0.08328211307525635,4.034337997436523
