layer,rank,group_median_share_mean,group_median_share_min,group_median_share_max,group_median_share_cv,group_median_share_max_over_min,traffic_max_over_mean,traffic_max_over_min
7,7,0.0667423140257597,0.06417001038789749,0.0679020881652832,0.022499720716407774,1.058159220402582,1.4187744996905303,1.9935064935064934
7,8,0.058082519099116325,0.05575617402791977,0.06055976077914238,0.030210738319346394,1.0861534499985102,1.3364142768722922,1.764821272885789
8,1,0.23427921161055565,0.21231763064861298,0.2596621811389923,0.07635938436514464,1.2229892559828668,1.2885496183206107,1.6390930086080202
8,2,0.1750032715499401,0.17104940116405487,0.18456286191940308,0.031859150409464784,1.079003262586037,1.2151021250257892,1.452930728241563
8,3,0.13824541121721268,0.13538578152656555,0.14119970798492432,0.020501397207241687,1.0429434050814115,1.207674850422942,1.9159465828750981
8,4,0.11321091093122959,0.10814595967531204,0.11895434558391571,0.04123923688004271,1.0999425770602418,1.1518877656282236,1.5501999111505997
8,5,0.09457823634147644,0.08750700950622559,0.1000044196844101,0.050964409489151215,1.1428161040893003,1.2271508149370745,1.6825073546051144
8,6,0.0793106947094202,0.07317550480365753,0.08515961468219757,0.061047843341383155,1.1637721517698507,1.2185681865071178,1.5632013550709294
8,7,0.06719226855784655,0.06195157393813133,0.07099898904561996,0.05228636587314967,1.1460401170198506,1.2236847534557458,1.607894166124485
8,8,0.05796281713992357,0.0525958277285099,0.06116294488310814,0.05578989070234227,1.1628858699366829,1.2728698163812668,1.5473515248796148
9,1,0.240832407027483,0.22320488095283508,0.2642917037010193,0.06463197603248753,1.184076721677364,1.1657520115535382,1.6820671588473446
9,2,0.16902919858694077,0.16167722642421722,0.1775275319814682,0.033337567356602406,1.0980367235869206,1.1178873530018567,1.3164237123420797
9,3,0.13562529534101486,0.12775741517543793,0.14990998804569244,0.06240653401591624,1.1733955938278366,1.158654838044151,1.5090283748925193
9,4,0.11193139106035233,0.1068582758307457,0.12437944859266281,0.06450964104859373,1.1639664558098348,1.2273158654838043,1.7944015444015444
9,5,0.09102978184819221,0.08627994358539581,0.09772335737943649,0.047308048181175705,1.1326312155352134,1.192160099030328,1.555340223944875
9,6,0.07525467127561569,0.07216425240039825,0.07920503616333008,0.03950344495650251,1.097566087484237,1.1622859500722096,1.46494695236114
9,7,0.060861896723508835,0.05749712884426117,0.06436403095722198,0.04496061697778747,1.119430348105916,1.2208788941613369,1.5217033532195021
9,8,0.05111027043312788,0.04860544204711914,0.05373123660683632,0.04474467108382713,1.1054572151560338,1.171693831235816,1.3930533751962324
10,1,0.25031834840774536,0.22611898183822632,0.2768590450286865,0.0731184069621154,1.224395416864036,1.336579327419022,2.318350987689665
10,2,0.17326883226633072,0.16017454862594604,0.18423786759376526,0.050961367232386194,1.1502318512787824,1.2118011140911904,1.3551125876707273
10,3,0.14021766558289528,0.13011813163757324,0.15317879617214203,0.06953986932109643,1.1772286786195272,1.114916443160718,1.3157382158161277
10,4,0.11412044987082481,0.10602772235870361,0.12215603142976761,0.053416068313243296,1.1521140765101048,1.3166082112646997,1.5073696145124718
10,5,0.09089834801852703,0.08222568035125732,0.09682709723711014,0.061911547266330656,1.177577331357764,1.2553744584278936,1.5353249899071457
