mode,layer,pairs,revisits,revisit_rate,same_rank_revisit_rate,payload_bytes,payload_bytes_per_pair,residual_to_raw_energy,direct_hit_rel_mse,temporal_hit_rel_mse,combine_relative_mse
temporal_delta_mxfp4,3,152,51,0.3355263157894737,0.046052631578947366,262759,1728.6776315789473,1.485944095485178,0.013691186055453167,0.02054110554935079,0.00016517579863606564
temporal_delta_mxfp4,4,152,67,0.4407894736842105,0.125,247335,1627.203947368421,1.3400493314304682,0.013787977617939285,0.018401336375823415,0.0010009229814911917
temporal_delta_mxfp4,5,152,65,0.4276315789473684,0.07894736842105263,249263,1639.8881578947369,1.3443255147611886,0.014078922312916357,0.018478090015027274,0.007281565607314577
temporal_delta_mxfp4,6,152,68,0.4473684210526316,0.07894736842105263,246371,1620.8618421052631,1.41741733142018,0.014011160524585408,0.01882248309097732,0.008145758839647594
temporal_delta_mxfp4,7,152,69,0.45394736842105265,0.09210526315789473,245407,1614.5197368421052,1.297160677461343,0.014281649183806411,0.017915452492851505,0.007608361450871422
temporal_delta_mxfp4,8,152,64,0.42105263157894735,0.05263157894736842,250227,1646.2302631578948,1.2798324971721156,0.014213273201867974,0.017946991037822466,0.0020113576559180443
temporal_delta_mxfp4,9,152,54,0.35526315789473684,0.07236842105263158,259867,1709.6513157894738,1.4247883828247545,0.014213933128027208,0.019516051533711568,0.0012092927540877773
temporal_delta_mxfp4,10,152,39,0.2565789473684211,0.05263157894736842,274327,1804.782894736842,1.260677077466678,0.013867337514275591,0.017443526152212598,0.0020226287706355426
temporal_delta_mxfp4,11,152,59,0.3881578947368421,0.02631578947368421,255047,1677.9407894736842,1.0905276736445453,0.01379723260418711,0.01532855502306638,0.0035748550464404947
temporal_delta_mxfp4,12,152,59,0.3881578947368421,0.10526315789473684,255047,1677.9407894736842,1.0756983954277077,0.014164088564146127,0.01511797025855385,0.008251200374515481
temporal_delta_mxfp4,13,152,54,0.35526315789473684,0.05263157894736842,259867,1709.6513157894738,0.9165416182579441,0.01416279877341837,0.012793997777540315,0.005057469651706337
temporal_delta_mxfp4,14,152,62,0.40789473684210525,0.11842105263157894,252155,1658.9144736842106,1.0412527727852807,0.0159680029847969,0.015019329106473541,0.004132261722436118
temporal_delta_mxfp4,15,152,60,0.39473684210526316,0.13157894736842105,254083,1671.5986842105262,0.8689774589931513,0.0193268792397916,0.01525548882338222,0.002895280752755441
