mode,layer,pairs,revisits,revisit_rate,same_rank_revisit_rate,payload_bytes,payload_bytes_per_pair,residual_to_raw_energy,direct_hit_rel_mse,temporal_hit_rel_mse,combine_relative_mse
uniform_mxfp4,6,320,189,0.590625,0.053125,87040,272.0,1.4090292218899976,0.013659556897195916,0.019366364892846807,0.024686091371540916
uniform_mxfp4,7,320,177,0.553125,0.053125,87040,272.0,1.4258856788009941,0.01371919690262032,0.019576181015692317,0.006350417432793869
uniform_mxfp4,8,320,213,0.665625,0.0875,87040,272.0,1.2761081515832784,0.013825005683107858,0.017874121678442573,0.008023943655850534
uniform_mxfp4,9,320,210,0.65625,0.06875,87040,272.0,1.2934082734337773,0.01369740151650852,0.017997176408438606,0.008923874084279504
uniform_mxfp4,10,320,197,0.615625,0.090625,87040,272.0,1.365460164075349,0.014255781368501976,0.01869514038062061,0.008653588816407572
uniform_mxfp4,11,320,201,0.628125,0.059375,87040,272.0,1.3171952520939498,0.013552926156337994,0.018008659639447058,0.00866451490852051
uniform_mxfp4,12,320,207,0.646875,0.05625,87040,272.0,1.3967415132106191,0.013910805852601084,0.01945691979188216,0.009655289987993067
uniform_mxfp4,13,320,185,0.578125,0.046875,87040,272.0,1.4766561284776067,0.013946521849267951,0.02036739848227902,0.010372738587094837
uniform_mxfp4,14,320,191,0.596875,0.034375,87040,272.0,2.2348020334419183,0.014344853066253478,0.039518515104530916,0.015698389148977088
uniform_mxfp4,15,320,191,0.596875,0.046875,87040,272.0,10.26787490027756,0.01801374878334374,0.27727451393830554,0.006793422217143393
revisit_abs_mxfp4,0,320,198,0.61875,0.046875,116848,365.15,1.762593734722378,0.016430196466108903,0.026552326056265965,0.0019613460603300713
revisit_abs_mxfp4,1,320,206,0.64375,0.090625,114896,359.05,1.810855894604557,0.014830028532917393,0.024966226455887267,0.005696378508712865
revisit_abs_mxfp4,2,320,187,0.584375,0.04375,119532,373.5375,1.88195647683693,0.013864116495813062,0.02602301147363214,0.0053285700719644434
revisit_abs_mxfp4,3,320,176,0.55,0.05,122216,381.925,2.259094544407866,0.013879847441179764,0.03722668663043331,0.0014372486874795793
revisit_abs_mxfp4,4,320,179,0.559375,0.040625,121484,379.6375,63.61947375234499,0.013714489390813217,1.711454872898117,0.0005166497080336287
revisit_abs_mxfp4,5,320,187,0.584375,0.034375,119532,373.5375,3.188054459344485,0.01358856612913358,0.06002285120935911,0.0006331754087285199
revisit_abs_mxfp4,6,320,188,0.5875,0.046875,119288,372.775,1.4543498936770365,0.013670753461895944,0.019947521158467024,0.0004315975328705758
