block,tokens,bf16_us,per_expert_us,quantize_once_us
27,64,1362.5600337982178,3301.6960620880127,2493.2799339294434
27,256,1266.4320468902588,3321.5999603271484,2475.4879474639893
27,128,1343.1040048599243,3303.391933441162,2407.072067260742
28,256,1250.9759664535522,3304.800033569336,2462.7199172973633
28,32,1200.4480361938477,3204.319953918457,2374.6559619903564
28,16,1195.3599452972412,3192.67201423645,2354.1440963745117
28,128,1352.6400327682495,3334.656000137329,2434.2079162597656
28,64,1352.8319597244263,3271.3279724121094,2449.0559101104736
28,8,1146.4320421218872,3055.6800365448,2266.6239738464355
29,32,1217.4400091171265,3312.8960132598877,2356.703996658325
29,8,1147.0400094985962,3025.791883468628,2259.9360942840576
29,128,1359.7760200500488,3354.207992553711,2435.6799125671387
29,256,1263.1360292434692,3317.023992538452,2464.7998809814453
29,64,1374.4640350341797,3265.023946762085,2429.1839599609375
29,16,1200.4799842834473,3193.7599182128906,2393.984079360962
