strategy,sample_idx,kl_free,kl_locked,drift_contribution,drift_fraction,numerical_fraction
rank8_fp8,28,0.29691725969314575,0.03943623602390289,0.25748102366924286,0.8671810589096136,0.1328189410903864
rank1_fp8,28,0.3988651633262634,0.12065257877111435,0.2782125845551491,0.6975103622363154,0.30248963776368465
rank8_int4,28,0.5901416540145874,0.27751076221466064,0.31263089179992676,0.5297556775956692,0.4702443224043308
uniform_fp8,29,0.33636927604675293,0.14297182857990265,0.19339744746685028,0.5749557442932731,0.4250442557067269
rank8_fp8,29,0.19413764774799347,0.039616238325834274,0.1545214094221592,0.7959373733771649,0.20406262662283514
rank1_fp8,29,0.27035802602767944,0.09089183062314987,0.17946619540452957,0.6638093865434411,0.3361906134565589
rank8_int4,29,0.4245534837245941,0.21466748416423798,0.20988599956035614,0.49436880771542135,0.5056311922845786
uniform_fp8,30,0.42714473605155945,0.148928701877594,0.27821603417396545,0.6513390209270489,0.3486609790729511
rank8_fp8,30,0.12107082456350327,0.0392342172563076,0.08183660730719566,0.6759399516955571,0.3240600483044429
rank1_fp8,30,0.2923142611980438,0.11636775732040405,0.17594650387763977,0.60190872370211,0.39809127629789
rank8_int4,30,0.4181056618690491,0.2143293023109436,0.20377635955810547,0.48738005280093133,0.5126199471990687
uniform_fp8,31,0.3491024672985077,0.18166926503181458,0.16743320226669312,0.4796104810211086,0.5203895189788914
rank8_fp8,31,0.1330346018075943,0.04093314707279205,0.09210145473480225,0.6923120262201184,0.30768797377988155
rank1_fp8,31,0.20878034830093384,0.11856234073638916,0.09021800756454468,0.4321192502011989,0.5678807497988011
rank8_int4,31,0.36861491203308105,0.18199488520622253,0.18662002682685852,0.5062736767689704,0.4937263232310296
