policy,cache_scope,capacity,prefetch_budget,total_latency_ms,total_compute_ms,total_demand_ms,total_exposed_prefetch_ms,miss_rate,total_needed_objects,total_misses,total_prefetches,useful_prefetches,wasted_prefetches,prefetch_precision,model,rank_mode,rank_limit,safe_overlap_budget,reactive_latency_ms,latency_saving_vs_reactive_pct
frequency_prefetch,per_layer,16,8,13441.691866844893,1497.9399185180664,7010.895605534315,4932.856342792511,0.5168738583766337,56389,29146,26880,9905,16975,0.3684895833333333,olmoe,top1,1,1,8022.455543458462,-67.55084268189302
transition_prefetch,per_layer,16,8,12976.479758799076,1497.9399185180664,6545.683497488499,4932.856342792511,0.48257638901204136,56389,27212,26880,11839,15041,0.44043898809523807,olmoe,top1,1,1,8022.455543458462,-61.75196844038784
random_prefetch,per_layer,16,8,14788.738301724195,1497.9399185180664,8357.942040413618,4932.856342792511,0.616184007519197,56389,34746,26880,4305,22575,0.16015625,olmoe,top1,1,1,8022.455543458462,-84.34179188170117
oracle_prefetch,per_layer,16,8,8815.89751830697,1497.9399185180664,3649.293118491769,3668.6644812971354,0.2690418344003263,56389,15171,21166,21166,0,1.0,olmoe,top1,1,1,8022.455543458462,-9.890263280991118
reactive_lru,per_layer,32,0,4109.7667381465435,1497.9399185180664,2611.826819628477,0.0,0.19255528560534857,56389,10858,0,0,0,0.0,olmoe,top1,1,1,4109.7667381465435,0.0
static_frequency_pin,per_layer,32,0,4089.079953610897,1497.9399185180664,2591.1400350928307,0.0,0.19103016545780205,56389,10772,0,0,0,0.0,olmoe,top1,1,1,4109.7667381465435,0.5033566587522631
frequency_prefetch,per_layer,32,1,4124.14712305367,1497.9399185180664,2564.92073841393,61.286466121673584,0.18909716434056287,56389,10663,3360,2072,1288,0.6166666666666667,olmoe,top1,1,1,4109.7667381465435,-0.3499075695379217
transition_prefetch,per_layer,32,1,4061.3651374280453,1497.9399185180664,2502.1387527883053,61.286466121673584,0.18446860203231127,56389,10402,3360,2175,1185,0.6473214285714286,olmoe,top1,1,1,4109.7667381465435,1.177721359931172
random_prefetch,per_layer,32,1,4490.014556527138,1497.9399185180664,2930.7881718873978,61.286466121673584,0.21607051020589121,56389,12184,3360,927,2433,0.27589285714285716,olmoe,top1,1,1,4109.7667381465435,-9.252296848168108
oracle_prefetch,per_layer,32,1,3585.6945906579494,1497.9399185180664,2032.5968526303768,55.157819509506226,0.14985192147404636,56389,8450,3024,3024,0,1.0,olmoe,top1,1,1,4109.7667381465435,12.751870869560456
frequency_prefetch,per_layer,32,8,9519.621845290065,1497.9399185180664,3088.8255839794874,4932.856342792511,0.22772171877493838,56389,12841,26880,10051,16829,0.37392113095238094,olmoe,top1,1,1,4109.7667381465435,-131.6341157985843
transition_prefetch,per_layer,32,8,9314.4378079772,1497.9399185180664,2883.641546666622,4932.856342792511,0.2125946549859015,56389,11988,26880,10651,16229,0.39624255952380955,olmoe,top1,1,1,4109.7667381465435,-126.64152010189031
random_prefetch,per_layer,32,8,10751.68824519217,1497.9399185180664,4320.891983881593,4932.856342792511,0.3185550373299757,56389,17963,26880,5556,21324,0.20669642857142856,olmoe,top1,1,1,4109.7667381465435,-161.6131019163646
oracle_prefetch,per_layer,32,8,3556.605198264122,1497.9399185180664,833.2444375753403,1225.4208421707153,0.06143042082675699,56389,3464,9516,9516,0,1.0,olmoe,top1,1,1,4109.7667381465435,13.45968214565605
reactive_lru,global,8,0,44457.175078868866,1497.9399185180664,42959.2351603508,0.0,1.0,178592,178592,0,0,0,0.0,olmoe,full_topk,8,1,44457.175078868866,0.0
static_frequency_pin,global,8,0,44049.934076324105,1497.9399185180664,42551.99415780604,0.0,0.9905202920623544,178592,176899,0,0,0,0.0,olmoe,full_topk,8,1,44457.175078868866,0.9160298687946322
frequency_prefetch,global,8,1,43781.67525391281,1497.9399185180664,42222.44886927307,61.286466121673584,0.9828491757749507,178592,175529,3360,3063,297,0.9116071428571428,olmoe,full_topk,8,1,44457.175078868866,1.5194393790376792
transition_prefetch,global,8,1,43744.631476953626,1497.9399185180664,42185.405092313886,61.286466121673584,0.9819868751119871,178592,175375,3360,3217,143,0.9574404761904762,olmoe,full_topk,8,1,44457.175078868866,1.6027640097490692
random_prefetch,global,8,1,43892.56604078412,1497.9399185180664,42333.33965614438,61.286466121673584,0.9854304784088873,178592,175990,3360,2602,758,0.7744047619047619,olmoe,full_topk,8,1,44457.175078868866,1.2700065559341223
oracle_prefetch,global,8,1,43710.23368406296,1497.9399185180664,42151.00729942322,61.286466121673584,0.9811861673535208,178592,175232,3360,3360,0,1.0,olmoe,full_topk,8,1,44457.175078868866,1.680136881123917
frequency_prefetch,global,8,8,43475.53539651632,1497.9399185180664,37044.739135205746,4932.856342792511,0.8623230603834439,178592,154004,26880,24588,2292,0.9147321428571429,olmoe,full_topk,8,1,44457.175078868866,2.208056811102088
