arm,phase,batch_size,prompt_len,repeat,seed,decode_step,latency_ms,tokens_processed,goodput_tokens_per_s,expert_loop,gate,moe_total,routing_setup,unattributed_tail_ms,moe_total_fraction,gate_fraction,routing_setup_fraction,expert_loop_fraction,unattributed_tail_ms_fraction
breakdown,decode,1,128,2,20270930,11,45.7859840393,1,21.8407449568,34.2981760502,0.365119997412,37.8418881893,2.59235200286,0.586240138859,0.826495028628,0.00797449274211,0.0566188989328,0.749097715597,0.0128039213563
breakdown,decode,1,128,2,20270930,12,45.8572158813,1,21.8068188568,34.3785920143,0.369759999216,37.9504959583,2.61174400151,0.590399943292,0.827579590888,0.00806328932337,0.0569538283411,0.749687728607,0.0128747446164
breakdown,decode,1,128,2,20270930,13,46.2628173828,1,21.6156312255,34.6074244976,0.369504000992,38.200991869,2.62665601075,0.59740735963,0.825738552688,0.00798706222178,0.0567768276846,0.748061325605,0.0129133371772
breakdown,decode,1,128,2,20270930,14,46.1878395081,1,21.6507204202,34.5899841785,0.374304002151,38.1900801659,2.62611199915,0.599679986015,0.826842748494,0.00810395130271,0.0568572166857,0.748898076787,0.0129835037188
breakdown,decode,1,128,2,20270930,15,50.6871681213,1,19.7288591386,37.3085763454,0.378175999969,41.1021120548,2.80755203962,0.607807669789,0.810897779028,0.00746098103299,0.055389798714,0.736055647381,0.0119913519006
breakdown,prefill,4,128,0,20300728,-1,89.9746856689,512,5690.48945482,76.7849597931,0.421471998096,80.7718396187,2.9174079895,0.647999837995,0.897717385931,0.00468433976692,0.0324247644525,0.853406257796,0.00720202391569
breakdown,decode,4,128,0,20300728,0,77.8391342163,4,51.3880330283,65.5506238937,0.393664004281,69.3125114441,2.73948799074,0.628735555336,0.89045840684,0.00505740471351,0.0351942248371,0.842129406419,0.00807737087091
breakdown,decode,4,128,0,20300728,1,78.5904312134,4,50.8967814305,66.5297920704,0.384960001335,70.2348799706,2.71081598103,0.609311917797,0.893682333666,0.00489830626186,0.0344929521212,0.846538071407,0.00775300387578
breakdown,decode,4,128,0,20300728,2,77.007232666,4,51.943172888,64.8337922096,0.391103997827,68.5755522251,2.72716800869,0.623488008976,0.89050794128,0.00507879564408,0.0354144398425,0.841918219433,0.00809648636096
breakdown,decode,4,128,0,20300728,3,76.6369934082,4,52.1941143841,64.4424643517,0.394175998867,68.1879992485,2.73046401143,0.620894886553,0.8897530581,0.00514341679308,0.0356285377336,0.840879338891,0.00810176468231
