model,origin_mode,scenario_seed,saving_uniform_full,low_frac_uniform_full,saving_controller,low_frac_controller,saving_causal_no_hysteresis,low_frac_causal_no_hysteresis,saving_calib_static,low_frac_calib_static,saving_uniform_low,low_frac_uniform_low
llmjp,hotspot,12,0.0,0.0,0.3417562960497691,0.7260030924812851,0.3478162334167587,0.7788473513683367,0.3384282240666062,0.6890063631538711,0.3561249135800765,1.0
llmjp,balanced,13,0.0,0.0,0.05584905514434935,0.8952170834534104,0.03478900425104159,0.8959518597474279,-0.2914406146113291,0.4105471888604097,0.08153829123265632,1.0
llmjp,hotspot,14,0.0,0.0,0.35036953068578713,0.7634910632447296,0.3416491468114138,0.7816911090742438,0.3488147784424005,0.688470058050718,0.35496817205942677,1.0
llmjp,balanced,15,0.0,0.0,0.06072135154936242,0.9180758934100588,0.06540276182420901,0.9098291779007841,-0.2429467503488365,0.4100549717519507,0.11934695554108432,1.0
llmjp,hotspot,16,0.0,0.0,0.3354820499215009,0.7352597074176217,0.3379617589886784,0.7760093901193805,0.3475331630433275,0.6893569104216966,0.35388545734095744,1.0
llmjp,balanced,17,0.0,0.0,0.060515309303622034,0.8770867059077015,0.018333759675009276,0.8679037698469447,-0.34789131827136477,0.40989720679338965,0.0664410199569978,1.0
llmjp,hotspot,18,0.0,0.0,0.3528067864301375,0.7765482471255067,0.3403813103078377,0.788008141303789,0.3419190484371639,0.6879611136602929,0.35080285796097344,1.0
llmjp,balanced,19,0.0,0.0,0.07564230847050735,0.9162300963098735,0.07155316626226149,0.9085620031842082,-0.2999930370276549,0.40894139413272373,0.09018599270404648,1.0
llmjp,hotspot,20,0.0,0.0,0.3477819263470192,0.7596259699425142,0.34654989972008055,0.791732569653654,0.34383873042406554,0.688939173371441,0.3515341582784818,1.0
llmjp,balanced,21,0.0,0.0,0.08036604159102945,0.8720077671231055,0.028503601293386027,0.8847794406835372,-0.38577411497835246,0.41082913279158534,0.09348726635066262,1.0
llmjp,hotspot,22,0.0,0.0,0.3483697716188645,0.7737356540128683,0.3430404857086916,0.7928852683675397,0.347330332108889,0.6910581054230838,0.35179933103042604,1.0
llmjp,balanced,23,0.0,0.0,0.05068974449262864,0.8804606014465169,0.03722657879130509,0.897341073467834,-0.3134895297447089,0.40769889607917775,0.09206031159580785,1.0
llmjp,hotspot,24,0.0,0.0,0.34971303350460714,0.7267300045878575,0.3510196374244978,0.7679270530662181,0.34248023967829244,0.6903693225263802,0.3500861268723058,1.0
llmjp,balanced,25,0.0,0.0,0.06311427829307747,0.9001668557698725,0.028397816923149577,0.9021824734699326,-0.3253118611550967,0.41028785003956864,0.08875769383576793,1.0
llmjp,hotspot,26,0.0,0.0,0.35370816985090303,0.7746237149673056,0.351955346383913,0.792060686151681,0.3571026072758561,0.6901200031273658,0.35775636305543623,1.0
llmjp,balanced,27,0.0,0.0,0.07888116597045514,0.8924295337875231,0.07227220602399054,0.8300872120761054,-0.3090704768217143,0.40938722543462913,0.10969235429586355,1.0
llmjp,hotspot,28,0.0,0.0,0.34628300005610346,0.7491983180454449,0.34306424557250126,0.7912873377275257,0.33577461625935623,0.690498180559619,0.3521289095681226,1.0
llmjp,balanced,29,0.0,0.0,0.0331950744664955,0.9175191718375997,0.07091063947957343,0.9311300330838073,-0.3231764230963863,0.40956648015733865,0.10211284409339949,1.0
